datetime,SST,SSS,age_absolute,synthetic_d18o,synthetic_d18o_2
1958-01-16,29.67008399963379,34.22222900390625,1958.041067761807,-0.20282358,-0.4830098
1958-02-15,29.795040130615234,34.235599517822266,1958.123203285421,-0.2242972,-0.4837591
1958-03-16,29.760522842407227,34.26388931274414,1958.2026009582478,-0.20397298,-0.4195857
1958-04-16,29.36727523803711,34.31284713745117,1958.2874743326488,-0.0954275,-0.2351556
1958-05-16,28.891468048095703,34.3370475769043,1958.3696098562627,0.020140287,-0.082077146
1958-06-16,28.23423957824707,34.60038375854492,1958.454483230664,0.28323182,0.5891855
1958-07-16,27.71417999267578,34.66483688354492,1958.536618754278,0.42664886,0.8325048
1958-08-16,27.539960861206055,34.67060852050781,1958.621492128679,0.4675743,0.8823763
1958-09-16,27.90280532836914,34.56794738769531,1958.7063655030802,0.34155098,0.5972282
1958-10-16,28.30042839050293,34.459049224853516,1958.7885010266941,0.20506975,0.2919549
1958-11-16,28.756261825561523,34.61226272583008,1958.8733744010951,0.17373246,0.49809852
1958-12-16,29.161800384521484,34.66518783569336,1958.955509924709,0.10833028,0.5147303
1959-01-16,29.026317596435547,34.67271041870117,1959.041067761807,0.14152166,0.55958164
1959-02-15,28.843303680419922,34.5221061706543,1959.123203285421,0.11401281,0.29863623
1959-03-16,28.892152786254883,34.4417610168457,1959.2026009582478,0.06711069,0.1271991
1959-04-16,28.983915328979492,34.37998962402344,1959.2874743326488,0.019125804,-0.016531447
1959-05-16,28.75191307067871,34.10306167602539,1959.3696098562627,-0.054451272,-0.5193469
1959-06-16,28.3547420501709,34.46064758300781,1959.454483230664,0.19384,0.28320262
1959-07-16,27.837827682495117,34.76655578613281,1959.536618754278,0.44521984,1.0087402
1959-08-16,27.380064010620117,34.844932556152344,1959.621492128679,0.5811974,1.2662017
1959-09-16,27.606311798095703,34.763710021972656,1959.7063655030802,0.49487278,1.0539821
1959-10-16,28.004247665405273,34.57780456542969,1959.7885010266941,0.3236694,0.5946253
1959-11-16,28.82199478149414,34.49492645263672,1959.8733744010951,0.1064699,0.24896473
1959-12-16,29.245790481567383,34.777618408203125,1959.955509924709,0.14044622,0.72111356
1960-01-16,29.30388069152832,34.79213333129883,1960.041067761807,0.1341981,0.7373636
1960-02-15,29.43198013305664,34.76078414916992,1960.123203285421,0.09190908,0.64648336
1960-03-16,29.300521850585938,34.66219711303711,1960.2053388090349,0.07646574,0.47823012
1960-04-16,29.291723251342773,34.737422943115234,1960.290212183436,0.11225304,0.63061744
1960-05-16,29.0573673248291,34.711612701416016,1960.37234770705,0.15219675,0.6305553
1960-06-16,28.59718132019043,34.669708251953125,1960.457221081451,0.23458067,0.64798725
1960-07-16,27.86867904663086,34.641117095947266,1960.539356605065,0.38198513,0.75107545
1960-08-16,27.850460052490234,34.545345306396484,1960.624229979466,0.342896,0.56354004
1960-09-16,28.227949142456055,34.52446365356445,1960.7091033538672,0.25045168,0.4387292
1960-10-16,28.591535568237305,34.67930603027344,1960.7912388774812,0.24014173,0.6684249
1960-11-16,29.270925521850586,35.07542037963867,1960.8761122518822,0.2689274,1.3111879
1960-12-16,29.501070022583008,35.05651092529297,1960.9582477754961,0.20978636,1.2227372
1961-01-16,29.352556228637695,34.981178283691406,1961.041067761807,0.20855969,1.1047449
1961-02-15,29.30424690246582,34.91061019897461,1961.123203285421,0.18743211,0.9742367
1961-03-16,29.117034912109375,34.556270599365234,1961.2026009582478,0.06916594,0.30674422
1961-04-16,29.28736686706543,34.56557846069336,1961.2874743326488,0.03588144,0.2878869
1961-05-16,29.1307430267334,34.66424560546875,1961.3696098562627,0.114738904,0.5196784
1961-06-16,28.90298080444336,34.649200439453125,1961.454483230664,0.15807626,0.53969574
1961-07-16,28.283405303955078,34.77963638305664,1961.536618754278,0.35307905,0.9368743
1961-08-16,27.937416076660156,34.73582077026367,1961.621492128679,0.40947965,0.9253606
1961-09-16,28.04497718811035,34.57194519042969,1961.7063655030802,0.3120722,0.57394606
1961-10-16,28.473461151123047,34.60319900512695,1961.7885010266941,0.23186994,0.5421872
1961-11-16,29.165809631347656,34.514739990234375,1961.8733744010951,0.03974672,0.21295254
1961-12-16,29.663877487182617,34.5687370300293,1961.955509924709,-0.045529537,0.21137169
1962-01-16,30.015607833862305,34.7520637512207,1962.041067761807,-0.040413186,0.50064445
1962-02-15,29.767837524414062,34.87321853637695,1962.123203285421,0.06861593,0.7974635
1962-03-16,29.81302833557129,34.82067108154297,1962.2026009582478,0.035027593,0.6824266
1962-04-16,29.72891616821289,34.802284240722656,1962.2874743326488,0.045258194,0.66415757
1962-05-16,29.416519165039062,34.82780075073242,1962.3696098562627,0.12546796,0.78391796
1962-06-16,29.06270980834961,34.9391975402832,1962.454483230664,0.25343457,1.0845497
1962-07-16,28.638479232788086,34.8931999206543,1962.536618754278,0.32606637,1.0858852
1962-08-16,28.366117477416992,34.872894287109375,1962.621492128679,0.37684843,1.1051935
1962-09-16,28.452266693115234,34.712825775146484,1962.7063655030802,0.28586477,0.76610357
1962-10-16,29.017717361450195,34.64535140991211,1962.7885010266941,0.13110216,0.50675565
1962-11-16,29.159875869750977,34.51415252685547,1962.8733744010951,0.04078779,0.21308304
1962-12-16,29.755802154541016,33.78068542480469,1962.955509924709,-0.42037618,-1.3849549
1963-01-16,29.735671997070312,34.56207275390625,1963.041067761807,-0.06432326,0.18224834
1963-02-15,30.01838493347168,34.943382263183594,1963.123203285421,0.045069173,0.8826705
1963-03-16,30.16461753845215,35.01006317138672,1963.2026009582478,0.042904407,0.98386115
1963-04-16,29.925933837890625,34.897613525390625,1963.2874743326488,0.044812486,0.81147224
1963-05-16,29.527259826660156,34.98410415649414,1963.3696098562627,0.17144154,1.0721619
1963-06-16,28.987524032592773,35.001808166503906,1963.454483230664,0.29815024,1.2263118
1963-07-16,28.33132553100586,34.94793701171875,1963.536618754278,0.41827187,1.2629331
1963-08-16,28.104633331298828,34.80469512939453,1963.621492128679,0.4036853,1.0263216
1963-09-16,28.18317413330078,34.862735748291016,1963.7063655030802,0.4125246,1.1251239
1963-10-16,28.091962814331055,34.843624114990234,1963.7885010266941,0.42399088,1.1069671
1963-11-16,28.572132110595703,34.98137283325195,1963.8733744010951,0.38034055,1.2768273
1963-12-16,29.080324172973633,35.130218505859375,1963.955509924709,0.33551884,1.4627165
1964-01-16,29.59468650817871,35.10585403442383,1964.041067761807,0.21139513,1.3008277
1964-02-15,29.569934844970703,34.97524642944336,1964.123203285421,0.15806708,1.0450579
1964-03-16,29.625499725341797,34.69443130493164,1964.2053388090349,0.019475982,0.47120336
1964-04-16,29.359098434448242,34.76617431640625,1964.290212183436,0.11036863,0.67329764
1964-05-16,29.308889389038086,34.894649505615234,1964.37234770705,0.17922845,0.941294
1964-06-16,28.968507766723633,34.948246002197266,1964.457221081451,0.27823082,1.123371
1964-07-16,28.470863342285156,34.84417724609375,1964.539356605065,0.34088168,1.0247153
1964-08-16,28.19953727722168,34.14472579956055,1964.624229979466,0.08582025,-0.31449592
1964-09-16,28.27830696105957,34.66355895996094,1964.7091033538672,0.30196586,0.70584106
1964-10-16,28.984712600708008,34.54109573364258,1964.7912388774812,0.09144815,0.3055054
1964-11-16,29.26369285583496,34.82597351074219,1964.8761122518822,0.1582675,0.8138853
1964-12-16,29.3447265625,34.98174285888672,1964.9582477754961,0.21053629,1.1075966
1965-01-16,29.295654296875,34.941036224365234,1965.041067761807,0.2030142,1.0369792
1965-02-15,29.26160430908203,35.01874923706055,1965.123203285421,0.24547604,1.1998962
1965-03-16,29.315126419067383,34.9205436706543,1965.2026009582478,0.18950868,0.9917102
1965-04-16,28.95302391052246,34.87459945678711,1965.2874743326488,0.24849632,0.9794843
1965-05-16,28.699724197387695,34.878173828125,1965.3696098562627,0.30583075,1.042359
1965-06-16,28.119586944580078,34.883094787597656,1965.454483230664,0.43567535,1.1798311
1965-07-16,27.179119110107422,34.959651947021484,1965.536618754278,0.67702895,1.5398484
1965-08-16,26.809328079223633,34.91612243652344,1965.621492128679,0.7387947,1.5341433
1965-09-16,27.222017288208008,34.81533432006836,1965.7063655030802,0.60264844,1.2417755
1965-10-16,27.665987014770508,34.75078201293945,1965.7885010266941,0.4759266,1.0149976
1965-11-16,28.140153884887695,34.8613166809082,1965.8733744010951,0.4213505,1.1317502
1965-12-16,28.887676239013672,34.73898696899414,1965.955509924709,0.2018472,0.7226358
1966-01-16,28.967012405395508,34.538673400878906,1966.041067761807,0.09425214,0.30455476
1966-02-15,29.28660011291504,34.631195068359375,1966.123203285421,0.0655776,0.4192888
1966-03-16,29.091812133789062,34.57027053833008,1966.2026009582478,0.08101492,0.3402931
1966-04-16,29.04302406311035,34.584259033203125,1966.2874743326488,0.098043114,0.37900347
1966-05-16,28.585180282592773,34.580936431884766,1966.3696098562627,0.19727358,0.47308388
1966-06-16,27.98808479309082,34.64142608642578,1966.454483230664,0.35585493,0.7254242
1966-07-16,27.627975463867188,34.721885681152344,1966.536618754278,0.4712858,0.9655674
1966-08-16,27.152212142944336,34.74631118774414,1966.621492128679,0.5869452,1.1190864
1966-09-16,27.758466720581055,34.33644104003906,1966.7063655030802,0.26912764,0.16597007
1966-10-16,28.05048942565918,34.65584945678711,1966.7885010266941,0.34861642,0.7405419
1966-11-16,28.517305374145508,35.05763244628906,1966.8733744010951,0.42671925,1.4414084
1966-12-16,29.182146072387695,35.03645324707031,1966.955509924709,0.27092367,1.2527851
1967-01-16,29.3846435546875,34.98800277709961,1967.041067761807,0.2045715,1.1113347
1967-02-15,29.260150909423828,34.68819046020508,1967.123203285421,0.09704435,0.5390984
1967-03-16,29.280742645263672,34.58944320678711,1967.2026009582478,0.048077904,0.3370737
1967-04-16,29.155366897583008,34.75028991699219,1967.2874743326488,0.14804159,0.68634975
1967-05-16,29.01719856262207,34.69696044921875,1967.3696098562627,0.15444036,0.6100879
1967-06-16,28.678770065307617,34.81412887573242,1967.454483230664,0.2816204,0.918879
1967-07-16,28.026609420776367,34.55775451660156,1967.536618754278,0.3097273,0.5496056
1967-08-16,28.21610450744629,34.528133392333984,1967.621492128679,0.2547089,0.44867447
1967-09-16,28.5316162109375,34.57044982910156,1967.7063655030802,0.2043387,0.46389478
1967-10-16,28.609590530395508,34.36813735961914,1967.7885010266941,0.096143745,0.042115483
1967-11-16,28.80374526977539,34.920372009277344,1967.8733744010951,0.3019353,1.1038707
1967-12-16,29.418855667114258,34.88298034667969,1967.955509924709,0.14978474,0.8937631
1968-01-16,29.664918899536133,34.41661834716797,1968.041067761807,-0.11421206,-0.09309479
1968-02-15,28.994260787963867,34.21882247924805,1968.123203285421,-0.055675413,-0.34114173
1968-03-16,29.526199340820312,34.148780822753906,1968.2053388090349,-0.20422064,-0.5982515
1968-04-16,29.27509307861328,34.2847785949707,1968.290212183436,-0.08777826,-0.2710126
1968-05-16,29.031597137451172,34.38737106323242,1968.37234770705,0.0119574545,-0.012258565
1968-06-16,28.697872161865234,34.3880615234375,1968.457221081451,0.08568765,0.06254184
1968-07-16,28.068296432495117,34.19096374511719,1968.539356605065,0.13550031,-0.19314705
1968-08-16,28.0831241607666,34.47676086425781,1968.624229979466,0.2608469,0.3751851
1968-09-16,28.13245964050293,34.73970413208008,1968.7091033538672,0.36831757,0.8902178
1968-10-16,28.47367286682129,34.850669860839844,1968.7912388774812,0.34318525,1.0370824
1968-11-16,28.94599723815918,35.195762634277344,1968.8761122518822,0.3945656,1.6233566
1968-12-16,29.680225372314453,34.92709732055664,1968.9582477754961,0.11213606,0.9244957
1969-01-16,29.963916778564453,34.9295539855957,1969.041067761807,0.05082944,0.86699694
1969-02-15,29.08798599243164,34.840904235839844,1969.123203285421,0.20364183,0.88240224
1969-03-16,29.763927459716797,34.53139877319336,1969.2026009582478,-0.08434275,0.11468418
1969-04-16,29.580039978027344,34.315792083740234,1969.2874743326488,-0.1409105,-0.27607393
1969-05-16,29.21869659423828,34.329402923583984,1969.3696098562627,-0.055290088,-0.16935673
1969-06-16,28.82898712158203,34.554805755615234,1969.454483230664,0.13187727,0.36718503
1969-07-16,28.42107582092285,34.28974151611328,1969.536618754278,0.10233885,-0.07320297
1969-08-16,28.04235076904297,34.61513137817383,1969.621492128679,0.3320838,0.66089624
1969-09-16,28.39005470275879,34.87638854980469,1969.7063655030802,0.37315467,1.1069158
1969-10-16,28.39826202392578,34.814964294433594,1969.7885010266941,0.34370813,0.9822616
1969-11-16,28.964191436767578,34.832244873046875,1969.8733744010951,0.22697993,0.8923183
1969-12-16,29.6876163482666,34.934600830078125,1969.955509924709,0.11388661,0.9378767
1970-01-16,29.553964614868164,33.822235107421875,1970.041067761807,-0.35727456,-1.2574513
1970-02-15,29.77117347717285,34.09130859375,1970.123203285421,-0.28397745,-0.7670903
1970-03-16,30.06918716430664,34.43406677246094,1970.2026009582478,-0.19529928,-0.14713696
1970-04-16,29.45136260986328,34.22379684448242,1970.2874743326488,-0.15399934,-0.4317554
1970-05-16,29.000091552734375,34.34302520751953,1970.3696098562627,-0.0010669512,-0.094019055
1970-06-16,28.677949905395508,34.235103607177734,1970.454483230664,0.02123949,-0.2389911
1970-07-16,28.388427734375,34.63373947143555,1970.536618754278,0.2643205,0.6219755
1970-08-16,28.357486724853516,34.73961639404297,1970.621492128679,0.31877214,0.84053636
1970-09-16,28.637800216674805,34.6086540222168,1970.7063655030802,0.1981701,0.5169427
1970-10-16,29.181516647338867,34.37979507446289,1970.7885010266941,-0.024434034,-0.060392834
1970-11-16,29.55480194091797,34.657859802246094,1970.8733744010951,0.01857233,0.4136139
1970-12-16,29.780471801757812,34.341670989990234,1970.955509924709,-0.17336,-0.26841113
1971-01-16,29.587520599365234,34.71730041503906,1971.041067761807,0.03812249,0.525297
1971-02-15,29.797359466552734,34.386016845703125,1971.123203285421,-0.15711965,-0.18343471
1971-03-16,29.5008544921875,34.70608901977539,1971.2026009582478,0.052143916,0.5219407
1971-04-16,29.09786605834961,34.212158203125,1971.2874743326488,-0.08146749,-0.37726343
1971-05-16,29.182668685913086,34.49410629272461,1971.3696098562627,0.026752565,0.16797616
1971-06-16,28.990612030029297,34.57677459716797,1971.454483230664,0.10620577,0.37556523
1971-07-16,28.570070266723633,34.65146255493164,1971.536618754278,0.23233452,0.6174603
1971-08-16,28.301908493041992,34.491580963134766,1971.621492128679,0.2193834,0.35669276
1971-09-16,28.545419692993164,34.42814636230469,1971.7063655030802,0.13726538,0.17625107
1971-10-16,28.902658462524414,34.583412170410156,1971.7885010266941,0.12854245,0.40819016
1971-11-16,29.513301849365234,34.09458923339844,1971.8733744010951,-0.2257694,-0.7037973
1971-12-16,29.463529586791992,34.3006591796875,1971.955509924709,-0.12208803,-0.28070745
1972-01-16,29.002748489379883,34.446632385253906,1972.041067761807,0.04497175,0.11261077
1972-02-15,29.139841079711914,34.299617767333984,1972.123203285421,-0.051345196,-0.21157883
1972-03-16,29.251869201660156,34.26156997680664,1972.2053388090349,-0.093112886,-0.3123206
1972-04-16,29.227420806884766,33.98822021484375,1972.290212183436,-0.21074164,-0.8536415
1972-05-16,28.520851135253906,34.217079162597656,1972.37234770705,0.04769022,-0.24047825
1972-06-16,27.73240852355957,34.7088623046875,1972.457221081451,0.44245002,0.9165454
1972-07-16,27.229137420654297,34.89252853393555,1972.539356605065,0.63581944,1.3945975
1972-08-16,27.545867919921875,34.645957946777344,1972.624229979466,0.455182,0.8317756
1972-09-16,27.593647003173828,34.68919372558594,1972.7091033538672,0.46412668,0.90773576
1972-10-16,27.952144622802734,34.770076751708984,1972.7912388774812,0.42165455,0.99063236
1972-11-16,28.669340133666992,34.74489212036133,1972.8761122518822,0.25253847,0.78248006
1972-12-16,29.171001434326172,34.77419662475586,1972.9582477754961,0.15536,0.7307236
1973-01-16,29.976150512695312,34.737937927246094,1973.041067761807,-0.0380892,0.48107344
1973-02-15,29.406291961669922,34.59440612792969,1973.123203285421,0.022690363,0.3193787
1973-03-16,29.38202667236328,34.31035232543945,1973.2026009582478,-0.099795476,-0.24339055
1973-04-16,29.707616806030273,33.683387756347656,1973.2874743326488,-0.45355934,-1.5689495
1973-05-16,28.996858596801758,34.2057991027832,1973.3696098562627,-0.062107444,-0.36776
1973-06-16,28.726051330566406,34.39021682739258,1973.454483230664,0.08045813,0.060653042
1973-07-16,28.307910919189453,34.56631851196289,1973.536618754278,0.25169477,0.5048473
1973-08-16,28.297224044799805,34.8117561340332,1973.621492128679,0.3644928,0.99807364
1973-09-16,28.562759399414062,34.97373962402344,1973.7063655030802,0.3789676,1.2636229
1973-10-16,28.907310485839844,34.979095458984375,1973.7885010266941,0.30557647,1.1985333
1973-11-16,29.76226806640625,34.990753173828125,1973.8733744010951,0.12273179,1.033758
1973-12-16,29.9632568359375,35.11429977416992,1973.955509924709,0.13411023,1.2366338
1974-01-16,29.685543060302734,35.084693908691406,1974.041067761807,0.18188465,1.2385191
1974-02-15,29.392894744873047,34.96446990966797,1974.123203285421,0.19216645,1.0624537
1974-03-16,29.50977897644043,34.850765228271484,1974.2026009582478,0.11528482,0.80932975
1974-04-16,29.284748077392578,34.839874267578125,1974.2874743326488,0.15989068,0.8370546
1974-05-16,28.92923927307129,34.931060791015625,1974.3696098562627,0.27913654,1.0976397
1974-06-16,28.793920516967773,34.900779724121094,1974.454483230664,0.2952802,1.0668477
1974-07-16,28.635576248168945,35.00628662109375,1974.536618754278,0.37759402,1.3126972
1974-08-16,28.292192459106445,34.976524353027344,1974.621492128679,0.43974546,1.3287171
1974-09-16,28.479825973510742,35.02134323120117,1974.7063655030802,0.41863456,1.3770754
1974-10-16,29.19230842590332,34.84382247924805,1974.7885010266941,0.18200411,0.8652878
1974-11-16,29.638643264770508,34.65896224975586,1974.8733744010951,0.00062333775,0.39737368
1974-12-16,29.576068878173828,34.926788330078125,1974.955509924709,0.13491143,0.9467922
1975-01-16,29.754709243774414,34.99913787841797,1975.041067761807,0.12816785,1.0521904
1975-02-15,29.626670837402344,34.92424392700195,1975.123203285421,0.12263402,0.9305709
1975-03-16,29.67827796936035,34.539764404296875,1975.2026009582478,-0.061735325,0.15025833
1975-04-16,29.736984252929688,34.63740539550781,1975.2874743326488,-0.03071227,0.33262494
1975-05-16,29.73548698425293,34.57840347290039,1975.3696098562627,-0.056933723,0.21495049
1975-06-16,29.31260108947754,34.77097702026367,1975.454483230664,0.12275927,0.69313246
1975-07-16,28.968547821044922,34.81154251098633,1975.536618754278,0.21670544,0.84995514
1975-08-16,28.45806121826172,34.76078414916992,1975.621492128679,0.30617124,0.8607455
1975-09-16,28.647836685180664,34.81892013549805,1975.7063655030802,0.29058182,0.93526685
1975-10-16,29.10573959350586,35.003334045410156,1975.7885010266941,0.27282944,1.2033561
