,age_absolute,d18o
0,1928.0990000000002,25.848182981754395
1,1928.2045555555555,25.659577248793884
2,1928.3101111111112,25.58264000252917
3,1928.4156666666668,25.639262541607163
4,1928.5212222222224,25.76950129127601
5,1928.6267777777778,25.758694576617852
6,1928.7323333333334,25.752761468765218
7,1928.837888888889,25.806073679640978
8,1928.9434444444446,25.667999424772173
9,1929.049,25.673999180239246
10,1929.1115,25.562873104177466
11,1929.174,25.559348621508253
12,1929.2365,25.63608354840984
13,1929.299,25.661923220570895
14,1929.3615,25.807917270269673
15,1929.424,25.881101251478665
16,1929.4865,25.991698557128867
17,1929.549,25.69492702122768
18,1929.799,25.783488959355463
19,1930.049,25.520386720143417
20,1930.0990000000002,25.770250606595358
21,1930.174,25.664740999714216
22,1930.249,25.72245921503828
23,1930.324,25.944222283162805
24,1930.3990000000001,26.147540444755744
25,1930.4740000000002,26.141430349045248
26,1930.549,25.923732840837122
27,1930.7156666666667,25.978047741667293
28,1930.8823333333335,25.903561785733782
29,1931.049,25.897561411158375
30,1931.1323333333335,25.7723039592664
31,1931.2156666666667,25.63847454369525
32,1931.299,25.94895694607268
33,1931.3823333333335,25.97347864011306
34,1931.4656666666667,25.90520368414823
35,1931.549,26.00777629135965
36,1931.7156666666667,25.87682509627871
37,1931.8823333333335,25.936535925788323
38,1932.049,25.81480130605524
39,1932.174,25.797011787375236
40,1932.299,25.937112941400553
41,1932.424,25.99172957535224
42,1932.549,25.86286504114408
43,1932.7156666666667,25.966250760338784
44,1932.8823333333335,25.898406851690392
45,1933.049,25.782362056534286
46,1933.1204285714286,25.75479168238311
47,1933.191857142857,25.69585086012515
48,1933.2632857142858,25.76652400661416
49,1933.3347142857144,25.9238552974611
50,1933.4061428571429,25.99289046414766
51,1933.4775714285715,26.063203098335652
52,1933.549,25.567538850204404
53,1933.7156666666667,25.937115880359524
54,1933.8823333333335,25.718828621050275
55,1934.049,25.84527537167443
56,1934.1490000000001,25.710164569989875
57,1934.249,25.732378201581316
58,1934.3490000000002,25.774843219821417
59,1934.449,25.967696728154838
60,1934.549,25.946019946402952
61,1934.6490000000001,25.99786612169353
62,1934.749,25.812673499756816
63,1934.8490000000002,25.83781629379406
64,1934.949,25.83483716904568
65,1935.049,25.816156166143042
66,1935.1323333333335,25.987014505502206
67,1935.2156666666667,26.09429336568675
68,1935.299,26.172615642736556
69,1935.3823333333335,26.029718559072332
81,1935.449,25.861389230703985
70,1935.4656666666667,26.077640244477355
71,1935.549,25.663089304769866
72,1935.7156666666667,26.635023610751578
82,1935.749,25.58462440489644
73,1935.8823333333335,26.003291439962712
74,1936.049,26.017650213865057
83,1936.049,25.765131816779142
84,1936.174,25.77611936329935
75,1936.2156666666667,26.38221925792556
85,1936.299,26.090670751275823
76,1936.3823333333335,26.347746248793417
86,1936.424,26.17303768304381
77,1936.549,26.265532790059762
87,1936.549,25.98771982040949
78,1936.6156666666668,25.624200019950212
79,1936.6823333333334,25.96603915529254
88,1936.7156666666667,25.835251333948115
80,1936.749,25.78607396172062
89,1936.8823333333335,25.552648703577358
90,1937.049,25.2637382505324
91,1937.1323333333335,25.36312313103863
92,1937.2156666666667,25.55207041165524
93,1937.299,25.458641089718796
94,1937.3823333333335,25.802814096798173
95,1937.4656666666667,25.645760189487575
96,1937.549,25.717030801966576
97,1937.7156666666667,25.730794548879068
98,1937.8823333333335,25.098596239634656
99,1938.049,25.34565811624153
100,1938.2156666666667,25.34893227637348
101,1938.3823333333335,25.530122761285845
102,1938.549,25.903638969096665
103,1938.6490000000001,25.599059249854868
104,1938.749,25.832166278767403
105,1938.849,25.64810778525424
106,1938.949,25.58055490626246
107,1939.049,25.576125508678462
108,1939.2156666666667,25.56497999658956
109,1939.3823333333332,25.285307680807545
110,1939.549,25.14046696560739
111,1939.799,26.129278733333653
116,1939.949,25.700138801270715
112,1940.049,25.508714606652486
113,1940.2156666666667,25.681073774395255
117,1940.249,25.480242951748746
114,1940.3823333333332,25.530690182566904
118,1940.3823333333332,25.326744063406142
119,1940.5156666666667,25.668510704427067
115,1940.549,25.80704343401234
120,1940.6490000000001,25.485857343045357
121,1940.7823333333333,25.609157448259506
122,1940.9156666666668,25.317980087740562
123,1941.049,25.5833337953929
124,1941.2156666666667,25.670962775865807
125,1941.3823333333332,25.848492552099838
126,1941.549,25.868200231337998
127,1941.6323333333332,25.89382893325922
128,1941.7156666666667,25.852523824161526
129,1941.799,25.78208579439057
130,1941.8823333333332,25.364711494760417
131,1941.9656666666667,25.516143315290112
132,1942.049,25.565189642329823
133,1942.2156666666667,25.412815395621916
134,1942.3823333333332,25.53892318631087
135,1942.549,25.696953949394032
136,1942.799,25.87234024488178
137,1943.049,25.865283804381082
138,1943.191857142857,25.88792260537102
139,1943.3347142857144,25.853167456177214
140,1943.4775714285713,25.843126992663176
141,1943.6204285714286,25.75562144846725
142,1943.7632857142858,25.73584911213163
143,1943.9061428571429,25.676104974420316
144,1944.049,25.641814180744664
145,1944.2156666666667,25.62063702201866
146,1944.3823333333332,25.79295308502977
147,1944.549,25.787070268813384
148,1944.674,25.781328522627827
149,1944.799,25.588898224386913
150,1944.924,25.731889354738353
151,1945.049,25.58608466099417
152,1945.299,25.59196943651654
153,1945.549,25.71642749156712
154,1945.6490000000001,25.725713622277386
155,1945.749,25.869314096789797
156,1945.849,25.550328306442626
157,1945.949,25.550390024581123
158,1946.049,25.426447267004274
159,1946.1490000000001,25.461948911777927
160,1946.249,25.713812797731723
161,1946.349,25.80737063811164
162,1946.449,25.881807611395555
163,1946.549,25.806778927704524
164,1946.7156666666667,25.983248719401328
165,1946.8823333333332,25.89175990614031
166,1947.049,25.86305901243647
167,1947.1490000000001,25.797507491789144
168,1947.249,25.90686125701053
169,1947.349,25.868422612567148
170,1947.449,26.05158343419866
171,1947.549,25.802707489870176
172,1947.674,25.724440073387914
173,1947.799,25.611046219227898
174,1947.924,25.497044980212923
175,1948.049,24.88162403173926
176,1948.2156666666667,25.503391172294467
177,1948.3823333333332,25.68064370673181
178,1948.549,25.756273897359858
179,1948.7156666666667,25.743298393482075
180,1948.8823333333332,25.42913445516108
181,1949.049,25.519865017006357
190,1949.099,25.45781673545807
182,1949.1490000000001,25.593404628149674
189,1949.2115000000001,25.296984164818053
183,1949.249,25.416695801122852
188,1949.324,25.43791214596855
184,1949.349,25.64970332628847
187,1949.4365,25.630175903200833
185,1949.449,25.934704954346454
186,1949.549,25.891007532642536
191,1950.499,25.521913909946193
192,1950.5115,25.708355924177177
193,1950.5240000000001,25.826296540914274
194,1950.5365,25.686347899931537
195,1950.549,25.667925884352197
196,1950.799,25.61015656705917
197,1951.049,25.47917170034806
198,1951.2156666666667,25.635451225378134
199,1951.3823333333332,25.80450406637558
200,1951.549,25.84953948535598
201,1951.6490000000001,25.869379538590756
202,1951.749,25.66977901308277
203,1951.849,25.720190201837877
204,1951.949,25.58861007864438
205,1952.049,25.669001637056326
206,1952.299,25.79962875112882
207,1952.549,25.73767317911055
208,1952.799,26.050452768454207
209,1953.049,25.859456767706266
210,1953.174,25.60143528620786
211,1953.299,25.90647604232285
212,1953.424,25.698228580654146
213,1953.549,25.76410146922162
214,1953.7156666666667,25.383298483817548
215,1953.8823333333332,25.270575467278523
216,1954.049,25.758047615993807
217,1954.2156666666667,25.59766266737859
218,1954.3823333333332,25.657952718744554
