sample #,age_absolute,d18o
208,1952.549,25.73767318
209,1952.799,26.05045277
210,1953.049,25.85945677
211,1953.174,25.60143529
212,1953.299,25.90647604
213,1953.424,25.69822858
214,1953.549,25.76410147
215,1953.715667,25.38329848
216,1953.882333,25.27057547
217,1954.049,25.75804762
218,1954.215667,25.59766267
219,1954.382333,25.65795272
220,1954.549,25.66606627
221,1954.799,25.26847186
222,1955.049,25.41911117
223,1955.174,25.56386028
224,1955.299,25.46143525
225,1955.424,25.76131479
226,1955.549,25.65679813
227,1955.799,25.6247386
228,1956.049,25.58422025
229,1956.215667,25.23811977
230,1956.382333,25.36699105
231,1956.549,26.49407802
232,1956.669,25.67951617
233,1956.789,25.762653
234,1956.799,25.7425435
235,1956.909,25.57238597
236,1957.029,25.68799097
237,1957.149,25.64734787
238,1957.215667,25.79324459
239,1957.632333,25.54694612
240,1958.049,25.57980547
241,1958.149,25.524745
242,1958.249,25.53021607
243,1958.349,25.61859444
244,1958.449,25.72925027
245,1958.549,25.77099257
246,1958.799,25.66962234
247,1959.049,25.56129564
248,1959.215667,25.54783227
249,1959.382333,25.54256776
250,1959.549,25.67716109
251,1959.674,25.58748393
252,1959.799,25.7514
253,1959.924,25.82242064
254,1960.049,25.78776503
255,1960.174,25.70651377
256,1960.299,25.57803667
257,1960.424,25.51923551
258,1960.549,25.72409604
259,1960.674,25.82737479
260,1960.799,25.85789902
261,1960.924,25.71926563
262,1961.049,25.74584611
263,1961.299,25.67335554
264,1961.549,25.67948673
265,1961.715667,25.847859
266,1961.882333,26.0996959
267,1962.049,25.94112217
268,1962.299,25.74256296
269,1962.549,25.47247169
270,1962.715667,25.82716024
271,1962.882333,25.93814239
272,1963.049,25.86301184
273,1963.215667,25.6971683
274,1963.382333,26.00293603
275,1963.549,25.68170211
276,1963.715667,25.84745734
277,1963.882333,25.81412846
278,1964.049,25.76510238
279,1964.174,25.51847559
280,1964.299,25.66481538
281,1964.424,25.75007727
282,1964.549,25.87424038
283,1964.799,25.88807947
284,1965.049,25.73974535
285,1965.299,25.72099352
286,1965.549,25.70663502
287,1965.632333,25.52319274
288,1965.715667,25.70141592
289,1965.799,25.88668289
290,1965.882333,25.96945398
291,1965.965667,25.79158755
292,1966.049,25.76513631
293,1966.299,25.47240583
294,1966.549,25.42770522
295,1966.674,25.59069971
296,1966.799,25.71939337
297,1966.924,25.67061277
298,1967.049,25.68088731
299,1967.174,25.60676366
300,1967.299,25.37221464
301,1967.424,25.58076297
302,1967.549,25.41663534
303,1967.715667,25.60775109
304,1967.882333,25.65372305
305,1968.049,25.73875143
306,1968.209,25.83949746
307,1968.369,25.80822629
308,1968.529,25.7304832
309,1968.689,25.44586029
310,1968.849,25.81099052
311,1969.349,25.87472777
312,1969.489,25.95709208
313,1969.629,25.83037649
314,1969.769,25.81599877
315,1969.909,25.79330616
316,1970.049,25.64019915
317,1970.299,25.72241664
318,1970.549,25.70226462
319,1970.799,25.69882369
320,1971.049,25.66502995
321,1971.215667,25.8421317
322,1971.382333,25.8662901
323,1971.549,25.88237586
324,1971.715667,26.01194961
325,1971.882333,25.88404515
326,1971.949,25.46247286
327,1971.999,25.50677036
328,1972.049,25.80376464
329,1972.049,25.43788723
330,1972.141857,25.66380392
331,1972.234714,25.67988067
332,1972.299,25.76798784
333,1972.327571,25.88411786
334,1972.420429,25.98192898
335,1972.513286,25.98021393
336,1972.549,25.8809928
337,1972.674,25.81073262
338,1972.699,26.0340244
339,1972.791857,25.98000642
340,1972.799,25.66326592
341,1972.884714,25.92781085
342,1972.924,25.53703755
343,1972.977571,25.85277536
344,1973.049,25.576399
345,1973.070429,25.454764
346,1973.163286,25.3466607
347,1973.256143,25.42081944
348,1973.299,25.75575401
349,1973.349,25.32013598
350,1973.549,25.88698904
351,1973.632333,25.82550864
352,1973.715667,25.75779485
353,1973.799,25.53305532
354,1973.882333,25.29206097
355,1973.965667,25.37335749
356,1974.049,25.33948112
357,1974.149,25.27517321
358,1974.249,25.39176472
359,1974.349,25.59581522
360,1974.449,25.56894078
361,1974.549,25.62178251
362,1974.632333,25.70853276
363,1974.715667,25.62684265
364,1974.799,25.426454
365,1974.882333,25.29905339
366,1974.965667,25.35104845
367,1975.049,25.42282629
368,1975.174,25.69968357
369,1975.299,25.91651933
370,1975.424,25.81705294
371,1975.549,25.60094086
372,1975.799,25.49818196
373,1976.049,25.42455297
374,1976.132333,25.54927108
375,1976.215667,25.7416502
376,1976.299,25.90111819
377,1976.382333,26.01101792
378,1976.465667,25.73840066
379,1976.549,25.58101157
380,1976.674,25.4469971
381,1976.799,25.34607234
382,1976.924,25.41080799
383,1977.049,25.48828342
384,1977.174,25.75402654
385,1977.299,25.80827376
386,1977.424,25.75647519
387,1977.549,25.65762682
388,1977.715667,25.29643599
389,1977.882333,25.27817328
390,1978.049,25.46561695
391,1978.149,25.48165444
392,1978.249,25.50710986
393,1978.349,25.7659484
394,1978.449,25.83777041
395,1978.549,25.75647809
396,1978.715667,25.25652973
397,1978.882333,25.26279897
398,1979.049,25.34057545
399,1979.174,25.41610258
400,1979.299,25.65361834
401,1979.424,25.87099441
402,1979.549,25.98117616
403,1979.715667,25.82116276
404,1979.882333,25.62481263
405,1980.049,25.47351581
406,1980.299,25.53616656
407,1980.549,25.90472396
408,1980.674,25.78329454
409,1980.799,25.51882362
410,1980.924,25.42928161
411,1981.049,25.40657869
412,1981.160111,25.61552359
413,1981.271222,25.67042869
414,1981.382333,25.60461704
415,1981.493444,25.45408306
416,1981.604556,25.2956393
417,1981.715667,25.24272156
418,1981.826778,25.30228881
419,1981.937889,25.35333236
420,1982.049,25.52904444
421,1982.174,25.48211282
422,1982.299,25.32984917
423,1982.424,25.36626643
424,1982.549,25.24384674
425,1982.674,25.32863556
426,1982.799,25.58025204
427,1982.924,25.81605295
428,1983.049,25.7489644
429,1983.299,25.55836553
430,1983.549,25.53772888
431,1983.799,25.59769392
432,1984.049,25.78894546
433,1984.191857,25.70342605
434,1984.334714,25.32281639
435,1984.477571,25.32836115
436,1984.620429,25.27612553
437,1984.763286,25.37303251
438,1984.906143,25.36412604
439,1985.049,25.55537818
440,1985.299,25.43819098
441,1985.549,25.39991155
442,1985.799,25.45654683
443,1986.049,25.3589973
444,1986.299,25.44332614
445,1986.549,25.68176328
446,1986.799,25.65378489
447,1987.049,25.71298479
448,1987.249,25.55690465
449,1987.449,25.43603517
450,1987.649,25.67001627
451,1987.849,25.83631904
452,1988.049,25.27515388
453,1988.049,25.44409298
454,1988.165667,25.35349521
455,1988.191857,25.60702623
456,1988.215667,25.41200349
457,1988.282333,25.36137629
458,1988.334714,25.88993593
459,1988.382333,25.5698961
460,1988.399,25.70489917
461,1988.477571,25.91328722
462,1988.515667,25.64642422
