2012.5,-7.8776
2012.285714,-15.8828
2012.035714,-43.3292
2011.785714,-21.982
2011.535714,-36.0864
2011.285714,-29.606
2011.035714,-25.794
2011,-9.4024
2010.875,-14.358
2010.75,-24.2692
2010.625,-49.4284
2010.5,-42.1856
2010.375,-63.914
2010.25,-73.8252
2010.125,-36.0864
2010,-26.1752
2009.8,-31.8932
2009.6,-49.0472
2009.4,-52.0968
2009.2,-63.1516
2009,-45.2352
2008.8,-8.2588
2008.6,-18.9324
2008.4,-54.7652
2008.2,-56.6712
2008,-48.2848
2007.833333,-14.358
2007.666667,-1.7784
2007.5,-39.5172
2007.45,6.608
2007.4,14.232
2007.2,-13.5956
2007.1,-34.5616
2007,-65.82
2006.8,-52.8592
2006.6,-56.29
2006.4,-64.6764
2006.2,-68.1072
2006,-38.3736
2005.833333,-42.5668
2005.666667,-41.042
2005.5,-27.7
2005.333333,-46.76
2005.166667,-52.478
2005,-54.7652
2004.888889,-36.0864
2004.777778,-36.4676
2004.666667,-40.2796
2004.555556,-39.136
2004.444444,-51.7156
2004.333333,-49.0472
2004.222222,-58.9584
2004.111111,-68.4884
2004,-57.0524
2003.890625,-42.5668
2003.78125,-26.9376
2003.671875,-21.6008
2003.5625,-33.0368
2003.453125,-34.1804
2003.34375,-52.8592
2003.234375,-54.7652
2003.125,-45.9976
2003.015625,-26.1752
2002.90625,2.0336
2002.796875,-47.9036
2002.6875,-46.76
2002.578125,-63.5328
2002.46875,-35.7052
2002.359375,-40.2796
2002.25,-31.512
2002.140625,-20.4572
2002.03125,-43.3292
2001.921875,-83.3552
2001.8125,-46.76
2001.703125,-39.136
2001.59375,-19.6948
2001.484375,-25.794
2001.375,-43.3292
2001.265625,-45.2352
2001.15625,-49.4284
2001.046875,-26.1752
2000.9375,-34.5616
2000.828125,-39.136
2000.71875,-37.6112
2000.609375,-37.9924
2000.5,-27.3188
2000.390625,-11.3084
2000.28125,-24.2692
2000.171875,-27.3188
2000.0625,-27.3188
1999.953125,-35.7052
1999.84375,-33.0368
1999.734375,-29.606
1999.625,-16.264
1999.515625,-9.4024
1999.40625,-11.3084
1999.296875,-42.948
1999.1875,-31.1308
1999.078125,-32.2744
1998.96875,-18.17
1998.859375,-15.1204
1998.75,-16.264
1998.640625,-26.5564
1998.53125,-38.3736
1998.421875,-31.8932
1998.3125,-19.3136
1998.203125,-21.2196
1998.09375,-14.7392
1997.984375,-11.3084
1997.875,-17.0264
1997.765625,-15.8828
1997.65625,-14.7392
1997.546875,-12.452
1997.4375,-10.1648
1997.328125,-5.5904
1997.21875,-31.1308
1997.109375,-36.0864
1997,-40.6608
1996.890625,-25.794
1996.78125,-23.888
1996.614583,-30.21787441
1996.447917,-45.41194417
1996.28125,-35.38327997
1996.114583,-33.86758116
1996,-33.92008642
1995.857143,-52.12904424
1995.714286,-42.12732368
1995.571429,-69.6560441
1995.428571,-57.92034649
1995.285714,-55.80148451
1995.142857,-49.16795515
1995,-50.46474098
1994.75,-52.38983719
1994.5,-48.7838845
1994.25,-46.01921653
1994,-44.80548025
1993.8,-56.5421513
1993.6,-64.07174069
1993.4,-54.89027461
1993.2,-51.8614683
1993,-52.34360442
1992.8,-40.37724371
1992.6,-33.80837832
1992.4,-29.08927331
1992.2,-27.27735263
1992,-33.21183411
1991.75,-25.74067308
1991.5,-26.44337691
1991.25,-27.28086787
1991,-41.10558972
1990.833333,-44.87229586
1990.666667,-52.21694445
1990.5,-51.45900819
1990.333333,-61.74144556
1990.166667,-63.60734669
1990,-41.03341294
1989.8,-40.40248506
1989.6,-41.0199547
1989.4,-42.90729274
1989.2,-44.02351579
1989,-51.95371451
1988.666667,-59.98834921
1988.333333,-77.34822123
1988,-72.21409367
1987.75,-55.10587616
1987.5,-44.16324481
1987.25,-38.13115013
1987,-56.39877408
1986.666667,-42.53394345
1986.333333,-23.0575057
1986,-40.34784271
1985.8,-55.85052986
1985.6,-36.60479887
1985.4,-41.43097191
1985.2,-45.21018129
1985,-41.06616613
1984.833333,-47.12899628
1984.666667,-50.87183146
1984.5,-61.95061546
1984.333333,-48.90843649
1984,-50.04787444
1983.8,-41.23535633
1983.6,-31.03583942
1983.4,-23.20241925
1983.2,-35.54197494
1983,-44.74427716
1982.857143,-45.41474801
1982.714286,-47.94135847
1982.571429,-24.97585193
1982.428571,-50.09911414
1982.285714,-33.27821979
1982.142857,-58.15994226
1982,-38.02270299
1981.857143,-32.25258142
1981.714286,-48.39396354
1981.571429,-51.48009958
1981.428571,-47.69176729
1981.285714,-45.80506688
1981.142857,-48.08309939
1981,-46.89722098
1980.857143,-36.78078855
1980.714286,-39.60035023
1980.571429,-43.95464461
1980.428571,-45.76995338
1980.285714,-35.15562744
1980.142857,-22.76642953
1980,-17.32750941
1979.857143,-29.07759599
1979.714286,-27.96980387
1979.571429,-26.76555735
1979.428571,-27.88460462
1979.285714,-38.77401155
1979.142857,-28.61588743
1979,-26.14220537
1978.875,-40.55891968
1978.75,-49.1035309
1978.625,-45.42965523
1978.5,-36.41189299
1978.375,-29.87896119
1978.25,-31.20046914
1978.125,-29.63164782
1978,-35.22566907
1977.875,-37.79144108
1977.75,-26.70258112
1977.625,-13.26070318
1977.5,-15.02674047
1977.375,-29.05350083
1977.25,-40.80990066
1977.125,-43.51294627
1977,-33.51474095
1976.888889,-27.61425881
1976.777778,-26.34746018
1976.666667,-39.16714106
1976.555556,-32.01825849
1976.444444,-13.02457702
1976.333333,-28.35473926
1976.222222,-27.96839758
1976.111111,-33.30300984
1976,-46.28811335
1975.842105,-45.16759962
1975.684211,-43.08339694
1975.526316,-22.29149566
1975.368421,-5.410934561
1975.210526,-9.073182407
1975.052632,-16.67300463
1974.894737,-25.30720671
1974.736842,-21.59689763
1974.578947,-44.4608031
1974.421053,-49.26432997
1974.263158,-39.64567169
1974.105263,-27.46563786
1973.947368,-25.41244434
1973.789474,-28.93058028
1973.631579,-32.77528828
1973.473684,-39.86067673
1973.315789,-37.07268402
1973.157895,-38.73847591
1973,-44.75961592
