sample,age1
O 1A,
O 2A,
O 3A,
O 4A,
O 5A,
O 6A,
O 7A,
O 8A,
O 9A,
O 10A,1
O 11A,
O 12A,
O 13A,
O 14A,
O 15A,
O 16A,
O 17A,
O 18A,
O 19A,2
O 20A,
N 1A,
N 2A,
N 3A,
N 4A,
N 5A,
N 6A,
N 7A,
N 8A,
N 9A,3
N 10A,
N 11A,
N 12A,
N 13A,
N 14A,
N 15A,
N 16A,4
N 17A,4
N 18A,4
N 19A,
N 20A,
N 21A,
N 22A,
N 23A,
N 24A,5
N 25A,
N 26A,
N 27A,
N 28A,
N 29A,
N 30A,
N 31A,
N 32A,
N 33A,
N 34A,
N 35A,
N 36A,6
N 37A,
N 38A,
N 39A,
N 40A,
N 41A,
N 42A,
N 43A,
N 44A,
N 45A,7
N 46A,
N 47A,
N 48A,
N 49A,
N 50A,
N 51A,
N 52A,
N 53A,8
N 54A,
N 55A,
N 56A,
N 57A,
N 58A,
N 59A,
N 60A,
N 61A,9
M 1A,
M 2A,8
M 3A,
M 4A,
M 5A,
M 6A,
M 7A,
M 8A,
M 9A,9
M 10A,
M 11A,
M 12A,
M 13A,
M 14A,10
M 15A,
M 16A,
M 17A,
M 18A,
M 19A,11
M 20A,
M 21A,
M 22A,
M 23A,
M 24A,
M 25A,12
M 26A,12
M 27A,
M 28A,
M 29A,
M 30A,
M 31A,13
M 32A,13
M 33A,
M 34A,
M 35A,
M 36A,14
M 37A,
M 38A,
M 39A,
M 40A,15
M 41A,
M 42A,
M 43A,
M 44A,
M 45A,16
M 46A,
M 47A,
M 48A,
M 49A,
M 50A,
M 51A,17
M 52A,
M 53A,
M 54A,
M 55A,
M 56A,
M 57A,
M 58A,18
M 59A,
M 60A,
M 61A,
M 62A,19
M 63A,
M 64A,
M 65A,
M 66A,
M 67A,
M 68A,
M 69A,20
M 70A,
M 71A,
M 72A,
M 73A,
M 74A,
M 75A,
M 76A,21
M 77A,21
M 78A,
M 79A,
M 80A,
M 81A,
M 82A,
M 83A,
M 84A,
M 85A,22
M 86A,22
M 87A,
M 88A,
M 89A,
M 90A,
M 91A,23
M 92A,23
M 93A,
M 94A,
M 95A,
M 96A,
M 97A,
M 98A,
M 99A,
M 100A,
M 101A,24
M 102A,
M 103A,
M 104A,
M 105A,
M 106A,
M 107A,
M 108A,25
M 109A,
M 110A,
L 1A,
L 2A,
L 3A,
L 4A,
L 5A,
L 6A,26
L 7A,
L 8A,
L 9A,
L 10A,
L 11A,
L 12A,
L 13A,
L 14A,
L 15A,27
L 16A,
L 17A,
L 18A,28
L 19A,28
L 20A,
L 21A,
L 22A,
L 23A,
L 24A,
L 25A,29
L 26A,
L 27A,
L 28A,
L 29A,
L 30A,30
L 31A,30
L 32A,
L 33A,
L 34A,
L 35A,
L 36A,
L 37A,31
L 38A,
L 39A,
L 40A,
L 41A,
L 42A,
L 43A,
L 44A,32
L 45A,
K 1A,
K 2A,
K 3A,33
K 4A,
K 5A,
K 6A,
K 7A,
K 8A,
K 9A,
K 10A,
K 11A,34
K 12A,
K 13A,
K 14A,
K 15A,
K 16A,
K 17A,
K 18A,
K 19A,35
K 20A,
K 21A,
K 22A,
K 23A,36
K 24A,
K 25A,
K 26A,
K 27A,37
K 28A,
K 29A,
K 30A,
K 31A,
K 32A,38
K 33A,
K 34A,
K 35A,
K 36A,39
K 37A,
K 38A,
K 39A,
K 40A,
K 41A,
K 42A,
K 43A,40
K 44A,
K 45A,
K 46A,
K 47A,
K 48A,
K 49A,41
K 50A,
K 51A,
K 52A,
K 53A,
K 54A,
K 55A,42
K 56A,42
K 57A,
K 58A,
K 59A,
K 60A,
K 61A,
K 62A,43
K 63A,43
K 64A,
K 65A,
K 66A,
K 67A,
K 68A,
K 69A,44
K 70A,
K 71A,
K 72A,
K 73A,
K 74A,
J 1A,
J 2A,
J 3A,
J 4A,45
J 5A,
J 6A,
J 7A,
J 8A,
J 9A,
J 10A,
J 11A,
J 12A,
J 13A,
J 14A,
J 15A,46
J 16A,46
J 17A,
J 18A,
J 19A,
J 20A,
J 21A,
J 23A,
J 24A,
J 25A,
J 26A,
J 27A,47
J 28A,
J 29A,
J 30A,
I 1A,46
I 2A,
I 3A,
I 4A,
I 5A,
I 6A,
I 7A,47
I 8A,47
I 9A,
I 10A,
I 11A,
I 12A,
I 13A,
I 14A,
I 15A,
I 16A,
I 17A,48
I 18A,
I 19A,
I 20A,
I 21A,
I 22A,
I 23A,
I 24A,
I 25A,
I 26A,
I 27A,
I 28A,49
I 29A,
I 30A,
I 31A,
I 32A,
I 33A,50
I 34A,50
I 35A,
I 36A,
I 37A,
I 38A,
I 39A,
I 40A,
I 41A,51
I 42A,
I 43A,
I 44A,
I 45A,
I 46A,
I 47A,
I 48A,
I 49A,52
I 50A,
I 51A,
I 52A,
I 53A,
I 54A,
I 55A,
I 56A,
I 57A,53
I 58A,
I 59A,
I 60A,
I 61A,
I 62A,
I 63A,
I 64A,54
I 65A,
I 66A,
I 67A,
I 68A,
I 69A,
I 70A,
I 71A,
I 72A,
I 73A,
I 74A,55
I 75A,
I 76A,
I 77A,
I 78A,
I 79A,56
I 80A,56
I 81A,
I 82A,
I 83A,
I 84A,
I 85A,
I 86A,57
I 87A,57
I 88A,
I 89A,
I 90A,
I 91A,
I 92A,
I 93A,
I 94A,58
I 95A,
I 96A,
I 97A,
I 98A,59
I 99A,
I 100A,
I 101A,
I 102A,
I 103A,
I 104A,
I 105A,60
I 106A,
I 107A,
I 108A,
I 109A,
I 110A,61
I 111A,61
I 112A,
I 113A,62
I 114A,
I 115A,
I 116A,
I 117A,63
I 118A,63
I 119A,
I 120A,
I 121A,
I 122A,
H 1A,
H 2A,
H 3A,62
H 4A,62
H 5A,
H 6A,
H 7A,
H 8A,
H 9A,
H 10A,
H 11A,
H 12A,63
H 13A,63
H 14A,
H 15A,
H 16A,
H 17A,
H 18A,
H 19A,
H 20A,
H 21A,
H 22A,64
H 23A,64
H 24A,
H 25A,
H 26A,
H 27A,
H 28A,
H 29A,65
H 30A,
H 31A,
H 32A,
H 33A,
H 34A,
H 35A,
H 36A,66
H 37A,
H 38A,
H 39A,
H 40A,
H 41A,67
H 42A,
H 43A,
H 44A,
H 45A,
H 46A,
