name,path,path_num,d18o_pdb,age_orig,age_edited,delta_days
Path I 24A,I,24,-5.13171,1978.119711,1978.119711,0.00
Path I 25A,I,25,-5.32609,1978.225988,1978.225988,0.00
Path I 26A,I,26,-5.44967,1978.281866,1978.281866,0.00
Path I 27A,I,27,-5.39923,1978.338741,1978.338741,0.00
Path I 28A,I,28,-5.32960,1978.407350,1978.407350,0.00
Path I 29A,I,29,-5.06105,1978.539632,1978.539632,0.00
Path I 30A,I,30,-4.85072,1978.827664,1978.827664,0.00
Path I 31A,I,31,-4.94720,1978.983456,1978.983456,0.00
Path I 32A,I,32,-5.15683,1979.092794,1979.092794,0.00
Path I 33A,I,33,-5.25651,1979.164926,1979.164926,0.00
Path I 34A,I,34,-5.32793,1979.217408,1979.217408,0.00
Path I 35A,I,35,-5.20695,1979.282101,1979.282101,0.00
Path I 36A,I,36,-5.02034,1979.445656,1979.445656,0.00
Path I 37A,I,37,-4.86566,1979.621924,1979.621924,0.00
Path I 38A,I,38,-4.75905,1979.739224,1979.739224,0.00
Path I 39A,I,39,-5.02349,1979.855088,1979.855088,0.00
Path I 40A,I,40,-5.17616,1979.969422,1979.969422,0.00
Path I 41A,I,41,-5.30616,1980.019422,1980.019422,0.00
Path I 42A,I,42,-5.40406,1980.069422,1980.069422,0.00
Path I 43A,I,43,-5.34126,1980.247649,1980.247649,0.00
Path I 44A,I,44,-5.26611,1980.368161,1980.368161,0.00
Path I 45A,I,45,-5.00834,1980.465811,1980.465811,0.00
Path I 46A,I,46,-4.95572,1980.625154,1980.625154,0.00
Path I 47A,I,47,-5.00596,1980.782922,1980.782922,0.00
Path I 48A,I,48,-5.10185,1980.855715,1980.855715,0.00
Path I 49A,I,49,-5.45220,1980.960616,1980.960616,0.00
Path I 50A,I,50,-5.46992,1981.061492,1981.061492,0.00
Path I 51A,I,51,-5.28810,1981.225978,1981.225978,0.00
Path I 52A,I,52,-5.27254,1981.315078,1981.315078,0.00
Path I 53A,I,53,-5.24785,1981.441020,1981.441020,0.00
Path I 54A,I,54,-4.99677,1981.562738,1981.562738,0.00
Path I 55A,I,55,-4.92710,1981.683246,1981.683246,0.00
Path I 56A,I,56,-5.00596,1981.795942,1981.795942,0.00
Path I 57A,I,57,-5.49091,1981.947824,1981.947824,0.00
Path I 58A,I,58,-5.48483,1982.043186,1982.043186,0.00
Path I 59A,I,59,-5.40939,1982.096766,1982.096766,0.00
Path I 60A,I,60,-5.33613,1982.242150,1982.242150,0.00
Path I 61A,I,61,-5.10573,1982.453029,1982.453029,0.00
Path I 62A,I,62,-4.89488,1982.529477,1982.529477,0.00
Path I 63A,I,63,-4.78800,1982.654623,1982.654623,0.00
Path I 64A,I,64,-4.94321,1982.807823,1982.807823,0.00
Path I 65A,I,65,-5.13368,1982.916341,1982.916341,0.00
Path I 66A,I,66,-5.28043,1982.978096,1982.978096,0.00
Path I 67A,I,67,-5.21966,1983.191516,1983.191516,0.00
Path I 68A,I,68,-4.86216,1983.528652,1983.528652,0.00
Path I 69A,I,69,-4.97995,1983.681000,1983.681000,0.00
Path I 70A,I,70,-5.23649,1983.759884,1983.759884,0.00
Path I 71A,I,71,-5.32334,1983.842595,1983.842595,0.00
Path I 72A,I,72,-5.34536,1984.290393,1984.290393,0.00
Path I 73A,I,73,-5.14269,1984.489990,1984.489990,0.00
Path I 74A,I,74,-5.08943,1984.629423,1984.629423,0.00
Path I 75A,I,75,-5.15327,1984.688239,1984.688239,0.00
Path I 76A,I,76,-5.29928,1984.898806,1984.898806,0.00
Path I 77A,I,77,-5.45298,1985.044364,1985.044364,0.00
Path I 78A,I,78,-5.50431,1985.165074,1985.165074,0.00
Path I 79A,I,79,-5.44653,1985.302204,1985.302204,0.00
Path I 80A,I,80,-5.39701,1985.373599,1985.373599,0.00
Path I 81A,I,81,-5.22657,1985.570399,1985.570399,0.00
Path I 82A,I,82,-5.27210,1985.762735,1985.762735,0.00
Path I 83A,I,83,-5.41979,1985.912644,1985.912644,0.00
Path I 84A,I,84,-5.38447,1986.100479,1986.100479,0.00
Path I 85A,I,85,-5.50322,1986.220609,1986.220609,0.00
Path I 86A,I,86,-5.42097,1986.378983,1986.378983,0.00
Path I 87A,I,87,-5.17690,1986.452336,1986.452336,0.00
Path I 88A,I,88,-4.94817,1986.643596,1986.643596,0.00
Path I 89A,I,89,-5.01325,1986.857290,1986.857290,0.00
Path I 90A,I,90,-5.19813,1987.033722,1987.033722,0.00
Path I 91A,I,91,-5.21815,1987.184524,1987.184524,0.00
Path I 92A,I,92,-5.15998,1987.352832,1987.352832,0.00
Path I 93A,I,93,-4.97447,1987.617358,1987.617358,0.00
Path I 94A,I,94,-5.05742,1987.848052,1987.848052,0.00
Path I 95A,I,95,-5.42661,1988.123683,1988.123683,0.00
Path I 96A,I,96,-5.42124,1988.430599,1988.430599,0.00
Path I 97A,I,97,-5.47191,1988.881872,1988.881872,0.00
Path I 98A,I,98,-5.37790,1989.098779,1989.098779,0.00
Path I 99A,I,99,-5.38654,1989.242716,1989.242716,0.00
Path I 100A,I,100,-5.20103,1989.478021,1989.478021,0.00
Path I 101A,I,101,-5.31470,1989.812524,1989.812524,0.00
Path I 102A,I,102,-5.35183,1989.947848,1989.947848,0.00
Path I 103A,I,103,-5.29690,1990.056388,1990.056388,0.00
Path I 104A,I,104,-5.39152,1990.211426,1990.211426,0.00
Path I 105A,I,105,-5.30972,1990.323138,1990.323138,0.00
Path I 106A,I,106,-5.07843,1990.545636,1990.545636,0.00
Path I 107A,I,107,-5.10557,1990.712602,1990.712602,0.00
Path I 108A,I,108,-5.04815,1990.805462,1990.805462,0.00
Path I 109A,I,109,-5.19955,1991.207791,1991.207791,0.00
Path I 110A,I,110,-5.31679,1991.391982,1991.391982,0.00
12 SPL A4 Path H 1A,H,1,-5.29926,1991.407595,1991.407595,0.00
12 SPL A4 Path H 2A,H,2,-5.19223,1991.498106,1991.498106,0.00
Path I 111A,I,111,-5.08983,1991.516110,1991.516110,0.00
12 SPL A4 Path H 3A,H,3,-5.11271,1991.548106,1991.548106,0.00
12 SPL A4 Path H 4A,H,4,-5.05599,1991.600182,1991.600182,0.00
Path I 112A,I,112,-4.92851,1991.729429,1991.729429,0.00
12 SPL A4 Path H 5A,H,5,-5.38921,1991.843812,1991.843812,0.00
12 SPL A4 Path H 6A,H,6,-5.39686,1992.004194,1992.004194,0.00
Path I 113A,I,113,-5.30898,1991.937287,1991.937287,0.00
12 SPL A4 Path H 7A,H,7,-5.47285,1992.101852,1992.101852,0.00
Path I 114A,I,114,-5.15093,1992.106038,1992.106038,0.00
12 SPL A4 Path H 8A,H,8,-5.34010,1992.223159,1992.223159,0.00
Path I 115A,I,115,-4.87650,1992.271127,1992.271127,0.00
12 SPL A4 Path H 9A,H,9,-5.18695,1992.379426,1992.379426,0.00
Path I 116A,I,116,-4.85385,1992.433109,1992.433109,0.00
12 SPL A4 Path H 10A,H,10,-4.93829,1992.600864,1992.600864,0.00
Path I 117A,I,117,-4.92170,1992.600864,1992.600864,0.00
Path I 118A,I,118,-5.03518,1992.782959,1992.782959,0.00
12 SPL A4 Path H 11A,H,11,-4.97009,1992.782959,1992.782959,0.00
12 SPL A4 Path H 12A,H,12,-5.18099,1992.963394,1992.963394,0.00
Path I 119A,I,119,-5.01583,1992.963394,1992.963394,0.00
Path I 120A,I,120,-4.72992,1993.214445,1993.214445,0.00
21 SPL A4 Path H 13A,H,13,-5.18071,1993.321867,1993.321867,0.00
Path I 121A,I,121,-4.85544,1993.465275,1993.465275,0.00
22 SPL A4 Path H 14A,H,14,-4.90352,1993.454664,1993.454664,0.00
Path I 122A,I,122,-4.86972,1993.716857,1993.716857,0.00
23 SPL A4 Path H 15A,H,15,-4.88413,1993.659189,1993.659189,0.00
24 SPL A4 Path H 16A,H,16,-4.91929,1993.861226,1993.861226,0.00
25 SPL A4 Path H 17A,H,17,-5.13910,1993.952051,1993.952051,0.00
26 SPL A4 Path H 18A,H,18,-5.33243,1994.043319,1994.043319,0.00
27 SPL A4 Path H 19A,H,19,-5.25773,1994.292075,1994.292075,0.00
28 SPL A4 Path H 20A,H,20,-5.14619,1994.450806,1994.450806,0.00
29 SPL A4 Path H 21A,H,21,-4.96885,1994.599606,1994.599606,0.00
30 SPL A4 Path H 22A,H,22,-4.82957,1994.743981,1994.743981,0.00
31 SPL A4 Path H 23A,H,23,-4.92453,1994.887150,1994.887150,0.00
32 SPL A4 Path H 24A,H,24,-5.20266,1995.022428,1995.022428,0.00
33 SPL A4 Path H 25A,H,25,-5.48062,1995.148373,1995.148373,0.00
34 SPL A4 Path H 26A,H,26,-5.46837,1995.318958,1995.318958,0.00
35 SPL A4 Path H 27A,H,27,-5.36482,1995.413662,1995.413662,0.00
36 SPL A4 Path H 28A,H,28,-5.17030,1995.529421,1995.529421,0.00
37 SPL A4 Path H 29A,H,29,-5.09958,1995.660178,1995.660178,0.00
38 SPL A4 Path H 30A,H,30,-5.17802,1995.815404,1995.815404,0.00
39 SPL A4 Path H 31A,H,31,-5.21123,1995.917990,1995.917990,0.00
40 SPL A4 Path H 32A,H,32,-5.45778,1996.038442,1996.038442,0.00
40 SPL A4 Path H 33A,H,33,-5.51236,1996.190127,1996.190127,0.00
41 SPL A4 Path H 34A,H,34,-5.29048,1996.324585,1996.324585,0.00
42 SPL A4 Path H 35A,H,35,-5.15587,1996.424112,1996.424112,0.00
43 SPL A4 Path H 36A,H,36,-5.20891,1996.662889,1996.662889,0.00
44 SPL A4 Path H 37A,H,37,-5.28548,1996.730859,1996.730859,0.00
45 SPL A4 Path H 38A,H,38,-5.43187,1996.792614,1996.792614,0.00
46 SPL A4 Path H 39A,H,39,-5.39255,1996.866973,1996.866973,0.00
47 SPL A4 Path H 40A,H,40,-5.26856,1996.963306,1996.963306,0.00
48 SPL A4 Path H 41A,H,41,-5.09455,1997.039071,1997.039071,0.00
49 SPL A4 Path H 42A,H,42,-5.04835,1997.100136,1997.100136,0.00
49 SPL A4 Path H 43A,H,43,-5.10647,1997.167068,1997.167068,0.00
50 SPL A4 Path H 44A,H,44,-5.23291,1997.246454,1997.246454,0.00
51 SPL A4 Path H 45A,H,45,-5.14926,1997.327316,1997.327316,0.00
52 SPL A4 Path H 46A,H,46,-5.09531,1997.412580,1997.412580,0.00
53 SPL A4 Path H 47A,H,47,-4.97693,1997.488252,1997.488252,0.00
54 SPL A4 Path H 48A,H,48,-4.79779,1997.624735,1997.624735,0.00
55 SPL A4 Path H 49A,H,49,-4.78278,1997.706401,1997.706401,0.00
56 SPL A4 Path H 50A,H,50,-4.94583,1997.836310,1997.836310,0.00
57 SPL A4 Path H 51A,H,51,-5.26364,1997.983761,1997.983761,0.00
57 SPL A4 Path H 52A,H,52,-5.19791,1998.069400,1998.069400,0.00
12 SPL A4 Path H 53A,H,53,-5.17461,1998.191413,1998.191413,0.00
12 SPL A4 Path H 54A,H,54,-5.21325,1998.418244,1998.418244,0.00
12 SPL A4 Path H 55A,H,55,-5.11309,1998.585137,1998.585137,0.00
12 SPL A4 Path H 56A,H,56,-5.27272,1998.747430,1998.747430,0.00
12 SPL A4 Path H 57A,H,57,-5.38547,1998.882911,1998.882911,0.00
12 SPL A4 Path H 58A,H,58,-5.32482,1998.968049,1998.968049,0.00
12 SPL A4 Path H 59A,H,59,-5.32045,1999.161097,1999.161097,0.00
12 SPL A4 Path H 60A,H,60,-5.35263,1999.359017,1999.359017,0.00
12 SPL A4 Path H 61A,H,61,-5.18618,1999.447120,1999.447120,0.00
12 SPL A4 Path H 62A,H,62,-5.13257,1999.532392,1999.532392,0.00
12 SPL A4 Path H 63A,H,63,-5.10839,1999.665447,1999.665447,0.00
12 SPL A4 Path H 64A,H,64,-5.40116,1999.900645,1999.900645,0.00
12 SPL A4 Path H 65A,H,65,-5.28365,2000.113680,2000.113680,0.00
12 SPL A4 Path H 66A,H,66,-5.44211,2000.196006,2000.196006,0.00
12 SPL A4 Path H 67A,H,67,-5.27141,2000.331758,2000.331758,0.00
12 SPL A4 Path H 68A,H,68,-5.11642,2000.477680,2000.477680,0.00
12 SPL A4 Path H 69A,H,69,-5.19144,2000.776439,2000.776439,0.00
12 SPL A4 Path H 70A,H,70,-5.33049,2000.851952,2000.851952,0.00
12 SPL A4 Path H 71A,H,71,-5.42011,2000.936024,2000.936024,0.00
12 SPL A4 Path H 72A,H,72,-5.52008,2001.022784,2001.022784,0.00
12 SPL A4 Path H 73A,H,73,-5.52949,2001.131170,2001.131170,0.00
12 SPL A4 Path H 74A,H,74,-5.28386,2001.181170,2001.181170,0.00
12 SPL A4 Path H 75A,H,75,-5.22865,2001.413120,2001.413120,0.00
12 SPL A4 Path H 76A,H,76,-5.02264,2001.617381,2001.617381,0.00
12 SPL A4 Path H 77A,H,77,-5.21438,2001.813966,2001.813966,0.00
12 SPL A4 Path H 78A,H,78,-5.33873,2001.863966,2001.863966,0.00
12 SPL A4 Path H 79A,H,79,-5.46329,2001.959156,2001.959156,0.00
12 SPL A4 Path H 80A,H,80,-5.51204,2002.021903,2002.021903,0.00
12 SPL A4 Path H 81A,H,81,-5.48818,2002.105107,2002.105107,0.00
12 SPL A4 Path H 82A,H,82,-5.34079,2002.319732,2002.319732,0.00
12 SPL A4 Path H 83A,H,83,-5.13214,2002.449842,2002.449842,0.00
12 SPL A4 Path H 84A,H,84,-5.16455,2002.524290,2002.524290,0.00
12 SPL A4 Path H 85A,H,85,-5.06172,2002.684182,2002.684182,0.00
12 SPL A4 Path H 86A,H,86,-5.15761,2002.835163,2002.835163,0.00
12 SPL A4 Path H 87A,H,87,-5.32698,2003.021319,2003.021319,0.00
12 SPL A4 Path H 88A,H,88,-5.41281,2003.151554,2003.151554,0.00
12 SPL A4 Path H 89A,H,89,-5.34911,2003.316975,2003.316975,0.00
12 SPL A4 Path H 90A,H,90,-5.34595,2003.455263,2003.455263,0.00
12 SPL A4 Path H 91A,H,91,-5.20488,2003.597104,2003.597104,0.00
12 SPL A4 Path H 92A,H,92,-5.04837,2003.710418,2003.710418,0.00
12 SPL A4 Path H 93A,H,93,-5.37635,2003.915712,2003.915712,0.00
12 SPL A4 Path H 94A,H,94,-5.51260,2004.022672,2004.022672,0.00
12 SPL A4 Path H 95A,H,95,-5.60181,2004.131635,2004.131635,0.00
12 SPL A4 Path H 96A,H,96,-5.34310,2004.290045,2004.290045,0.00
12 SPL A4 Path H 97A,H,97,-5.21704,2004.415685,2004.415685,0.00
12 SPL A4 Path H 98A,H,98,-4.97568,2004.650257,2004.650257,0.00
12 SPL A4 Path H 99A,H,99,-5.01535,2004.798756,2004.798756,0.00
12 SPL A4 Path H 100A,H,100,-5.25961,2004.886929,2004.886929,0.00
12 SPL A4 Path H 101A,H,101,-5.50722,2005.026785,2005.026785,0.00
12 SPL A4 Path H 102A,H,102,-5.41797,2005.136382,2005.136382,0.00
12 SPL A4 Path H 103A,H,103,-5.38228,2005.263080,2005.263080,0.00
12 SPL A4 Path H 104A,H,104,-5.37036,2005.392526,2005.392526,0.00
12 SPL A4 Path H 105A,H,105,-5.07458,2005.683748,2005.683748,0.00
12 SPL A4 Path H 106A,H,106,-5.29980,2005.851000,2005.851000,0.00
12 SPL A4 Path H 107A,H,107,-5.39634,2006.100569,2006.100569,0.00
12 SPL A4 Path H 108A,H,108,-5.56132,2006.267154,2006.267154,0.00
12 SPL A4 Path H 109A,H,109,-5.54512,2006.398534,2006.398534,0.00
12 SPL A4 Path H 110A,H,110,-5.51775,2006.505172,2006.505172,0.00
12 SPL A4 Path H 111A,H,111,-5.35927,2006.555172,2006.555172,0.00
12 SPL A4 Path H 112A,H,112,-5.20170,2006.617527,2006.617527,0.00
12 SPL A4 Path H 113A,H,113,-5.15891,2006.670279,2006.670279,0.00

# SNAPSHOTS
# 1,Snap 1,r_post=0.7288,r_pre=0.4708
# 2,Snap 2,r_post=0.7288,r_pre=0.4403
# 3,Snap 3,r_post=0.7288,r_pre=0.4628
# 4,Snap 4,r_post=0.7288,r_pre=0.4628
# 5,Snap 5,r_post=0.7288,r_pre=0.4628
