name,path,path_num,d18o_pdb,age_orig,age_edited,delta_days
12 SPL A Path N 57A,N,57,-4.43242,1945.359422,1945.236842,-44.77
SPL A  Path M 6A,M,6,-4.60189,1945.415302,1945.478103,22.94
12 SPL A Path N 58A,N,58,-4.51217,1945.582941,1945.581000,-0.71
SPL A  Path M 7A,M,7,-4.78165,1945.582941,1945.582941,0.00
12 SPL A Path N 59A,N,59,-5.13427,1945.594117,1945.631000,13.47
12 SPL A Path N 60A,N,60,-4.80268,1945.605293,1945.682941,28.36
12 SPL A Path N 61A,N,61,-4.97725,1945.616469,1945.616469,0.00
SPL A  Path M 8A,M,8,-4.92955,1945.694700,1945.783693,32.50
SPL A  Path M 9A,M,9,-5.20368,1945.806460,1945.847702,15.06
SPL A  Path M 10A,M,10,-5.48392,1945.918219,1945.908209,-3.66
SPL A  Path M 11A,M,11,-5.38752,1946.029978,1945.992198,-13.80
SPL A  Path M 12A,M,12,-5.20424,1946.141738,1946.089949,-18.92
SPL A  Path M 13A,M,13,-5.29486,1946.253497,1946.224725,-10.51
SPL A  Path M 14A,M,14,-4.96101,1946.365256,1946.330730,-12.61
SPL A  Path M 15A,M,15,-5.11336,1946.477016,1946.442490,-12.61
SPL A  Path M 16A,M,16,-5.04422,1946.588775,1946.560003,-10.51
SPL A  Path M 17A,M,17,-5.03087,1946.700534,1946.729306,10.51
SPL A  Path M 18A,M,18,-5.64411,1946.812294,1946.881346,25.22
SPL A  Path M 19A,M,19,-5.40446,1946.924053,1946.953882,10.89
SPL A  Path M 20A,M,20,-5.40128,1947.147571,1947.169884,8.15
SPL A  Path M 21A,M,21,-5.22553,1947.371090,1947.336564,-12.61
SPL A  Path M 22A,M,22,-4.86321,1947.594609,1947.554328,-14.71
SPL A  Path M 23A,M,23,-5.15866,1947.661664,1947.644401,-6.31
SPL A  Path M 24A,M,24,-4.93254,1947.728720,1947.769001,14.71
SPL A  Path M 25A,M,25,-5.11108,1947.795776,1947.847357,18.84
SPL A  Path M 26A,M,26,-5.17661,1947.862831,1947.897357,12.61
12 SPL A M 27A,M,27,-5.18090,1947.929887,1947.993185,23.12
12 SPL A M 28A,M,28,-5.19171,1948.153405,1948.141896,-4.20
12 SPL A M 29A,M,29,-5.46300,1948.376924,1948.376924,0.00
12 SPL A M 30A,M,30,-5.60350,1948.600443,1948.560162,-14.71
12 SPL A M 31A,M,31,-4.64434,1948.768082,1948.699030,-25.22
12 SPL A M 32A,M,32,-5.24629,1948.935721,1948.976002,14.71
12 SPL A M 33A,M,33,-5.07910,1949.159239,1949.096829,-22.80
12 SPL A M 34A,M,34,-5.22498,1949.382758,1949.330969,-18.92
12 SPL A M 35A,M,35,-4.95691,1949.606276,1949.686837,29.42
12 SPL A M 36A,M,36,-5.06061,1949.991846,1949.899776,-33.63
12 SPL A M 37A,M,37,-5.27391,1950.142721,1950.041846,-36.84
12 SPL A M 38A,M,38,-5.42280,1950.377416,1950.342890,-12.61
12 SPL A M 39A,M,39,-5.09129,1950.612110,1950.392890,-80.07
12 SPL A M 40A,M,40,-5.26846,1950.695930,1950.442890,-92.42
12 SPL A4 M 41A,M,41,-5.14886,1950.779749,1950.784777,1.84
12 SPL A4 M 42A,M,42,-5.43131,1950.863569,1950.867413,1.40
12 SPL A4 M 43A,M,43,-5.17391,1950.947388,1950.917413,-10.95
12 SPL A4 M 44A,M,44,-5.08891,1951.170907,1951.315757,52.91
12 SPL A4 M 45A,M,45,-4.91670,1951.394425,1951.448411,19.72
12 SPL A4 M 46A,M,46,-4.89759,1951.617944,1951.547688,-25.66
12 SPL A4 M 47A,M,47,-4.87273,1951.673824,1951.673824,0.00
12 SPL A4 M 48A,M,48,-4.91279,1951.729703,1951.729703,0.00
12 SPL A4 M 49A,M,49,-4.98112,1951.785583,1951.825163,14.46
12 SPL A4 M 50A,M,50,-5.38598,1951.841463,1951.916394,27.37
12 SPL A4 M 51A,M,51,-5.23909,1951.897342,1951.995166,35.73
12 SPL A4 M 52A,M,52,-5.19151,1951.953222,1952.108590,56.75
12 SPL A4 M 53A,M,53,-5.33931,1952.176741,1952.372389,71.46
12 SPL A4 M 54A,M,54,-5.21699,1952.400259,1952.463557,23.12
12 SPL A4 M 55A,M,55,-5.06370,1952.623778,1952.623778,0.00
12 SPL A4 M 56A,M,56,-4.89357,1952.791417,1952.791417,0.00
12 SPL A4 M 57A,M,57,-4.90042,1952.959056,1952.959056,0.00
12 SPL A4 M 58A,M,58,-4.87846,1953.102746,1953.102746,0.00
12 SPL A4 M 59A,M,59,-4.91217,1953.246437,1953.246437,0.00
12 SPL A4 M 60A,M,60,-4.92191,1953.390128,1953.390128,0.00
12 SPL A4 M 61A,M,61,-5.00679,1953.533818,1953.558201,8.91
12 SPL A4 M 62A,M,62,-5.02597,1953.677509,1953.731151,19.59
12 SPL A4 M 63A,M,63,-5.08392,1953.821199,1953.952867,48.09
12 SPL A4 M 64A,M,64,-5.11718,1953.964890,1954.130694,60.56
12 SPL A4 M 65A,M,65,-5.13773,1954.188408,1954.354212,60.56
12 SPL A4 M 66A,M,66,-4.97058,1954.411927,1954.508093,35.12
12 SPL A4 M 67A,M,67,-4.97628,1954.635446,1954.608917,-9.69
12 SPL A4 M 68A,M,68,-4.98185,1954.719265,1954.760521,15.07
12 SPL A4 M 69A,M,69,-5.16851,1954.794901,1954.936581,51.75
12 SPL A4 M 70A,M,70,-5.02981,1954.886904,1955.084406,72.14
12 SPL A4 M 71A,M,71,-5.17124,1954.970724,1955.248363,101.41
12 SPL A4 M 72A,M,72,-5.16553,1955.306001,1955.424447,43.26
12 SPL A4 M 73A,M,73,-5.04481,1955.506250,1955.517679,4.17
12 SPL A4 M 74A,M,74,-5.03580,1955.651050,1955.614589,-13.32
12 SPL A4 M 75A,M,75,-4.89651,1955.730381,1955.787499,20.86
12 SPL A4 M 76A,M,76,-5.20593,1955.793344,1955.905896,41.11
12 SPL A4 M 77A,M,77,-5.20587,1955.905410,1956.087014,66.33
12 SPL A4 M 78A,M,78,-5.32609,1956.025659,1956.238668,77.80
12 SPL A4 M 79A,M,79,-5.29165,1956.151587,1956.380591,83.64
12 SPL A4 M 80A,M,80,-5.04734,1956.244780,1956.449830,74.89
12 SPL A4 M 81A,M,81,-4.95659,1956.378891,1956.505585,46.27
12 SPL A4 M 82A,M,82,-4.88439,1956.513002,1956.576398,23.16
12 SPL A4 M 83A,M,83,-4.95717,1956.647113,1956.673957,9.80
12 SPL A4 M 84A,M,84,-4.78599,1956.758873,1956.793009,12.47
12 SPL A4 M 85A,M,85,-4.87473,1956.870632,1957.044238,63.41
12 SPL A4 M 86A,M,86,-4.90257,1956.982391,1957.203398,80.72
