decimal_year,d13c,d18o,d18o_pdb,calendar_year
1994.5,-1.9023991999999998,-5.4283653,-35.255568624653,1994.2049965776864
1994.5833333333337,-1.95,-5.69,-35.5093569,1994.3577773902268
1994.666666666667,-2.3449072,-5.5215234,-35.345932913234,1994.5105582027666
1994.7500000000002,-2.2235904,-5.297142600000001,-35.128281293426,1994.6633390153063
1994.8333333333335,-2.0893463999999997,-5.113831500000001,-34.950467693315,1994.816119827846
1994.9166666666667,-1.42,-5.09,-34.9273509,1994.9689006403858
1995.0,-1.5384487999999998,-5.1859539,-35.020427142539,1995.1216814529253
1995.0666666666675,-1.6,-5.46,-35.2862546,1995.2439061029588
1995.1333333333341,,,,1995.3751822223264
1995.2000000000007,,,,1995.5067273111435
1995.2666666666673,-1.72,-5.28,-35.1116528,1995.6382723999604
1995.333333333334,-1.571264,-5.1709284,-35.005852257284,1995.7698174887776
1995.4000000000005,-1.6567823999999998,-5.299146,-35.13022461146,1995.9013625775947
1995.4666666666672,-1.8327912,-5.4483993,-35.275001804992996,1996.0329076664118
1995.5333333333338,-1.7810823999999998,-5.5355472,-35.359536139472,1996.164452755229
1995.6000000000004,-2.1062512,-5.512508100000001,-35.337187982081,1996.3505041927374
1995.666666666667,-2.2832543999999997,-5.1999777,-35.034030368776996,1996.53690801791
1995.7333333333336,-1.97,-5.24,-35.0728524,1996.723311843083
1995.8000000000002,-1.7,-5.39,-35.2183539,1996.9097156682556
1995.8666666666668,-1.6726927999999999,-5.332202100000001,-35.162289359021,1997.0961194934284
1995.9333333333334,-1.75,-5.47,-35.295954699999996,1997.2006290308739
1996.0,-2.1152008,-5.2520661,-35.084556637660995,1997.2568103496612
1996.1999999999998,-2.09,-5.23,-35.0631523,1997.4253543060233
1996.3999999999999,-2.3986047999999998,-4.9315221000000005,-34.773625752221,1997.5938982623857
1996.6,-1.5692752,-4.938466000000001,-34.78036140466,1997.7624422187478
1996.8,-1.5216,-5.0304184,-34.869556152183996,1997.93098617511
1997.0,-1.7035752,-5.3549692,-35.184373673692,1998.0995301314722
1997.2444444444438,-2.0535479999999997,-5.363984500000001,-35.193118604845,1998.305528300359
1997.4888888888884,-2.1411112,-5.3659879,-35.195061922879,1998.511526469246
1997.733333333333,-2.2056912,-5.270826400000001,-35.102754316264,1998.7067727926074
1997.9777777777774,-1.9909568,-5.3068876000000005,-35.137734040876,1998.871445716404
1998.222222222222,-1.9879736000000001,-5.442117100000001,-35.268908008170996,1999.0361186402006
1998.4666666666665,-1.9114048,-5.4200797000000005,-35.247531509797,1999.200791563997
1998.711111111111,-1.5693312,-5.3770066000000005,-35.205750172066,1999.3654644877936
1998.9555555555555,-1.9949344,-5.407057600000001,-35.234899942576,1999.5301374115902
1999.2,-2.2703832,-5.2668196,-35.098867680196,1999.6948103353866
