,decimal_year,d13c,d18o,sea level,d18o_pdb,d13c_ma,d18o_ma,d13c_std,d18o_std
0,2012.0,-1.4828744,-5.4450882,-101.5456046384,25.564877826386397,,,,
1,2011.857142857143,-1.6936872,-5.5442565,-109.4902958192,25.661072741558428,-1.8630666666666666,25.666578847814066,,
2,2011.7142857142858,-2.4126384,-5.6604537,-136.5846907424,25.77378597549738,-1.9867037333333333,25.68568827540717,,
3,2011.5714285714287,-1.8537856,-5.504188500000001,-115.52376412160001,25.622206109165692,-2.1633754666666665,25.60957445363805,,
4,2011.4285714285716,-2.2237024,-5.308857,-129.4644486464,25.43273127625108,-2.0410642666666665,25.454755701273637,,
5,2011.2857142857144,-2.0457047999999998,-5.1816411,-122.7564310928,25.30932971840413,-2.0731791999999998,25.359219556831665,0.3003142455564363,0.14877050509074424
6,2011.1428571428573,-1.9501304,-5.208721000000001,-119.1546142544,25.335597675839793,-1.838169333333333,25.363106220070943,0.33702685161325785,0.16047528127119529
7,2011.0,-1.5186728,-5.3208774000000005,-102.8947031408,25.444391265968903,-1.7062456,25.460920578259337,0.34189939483981163,0.15583993783450442
8,2010.75,-1.6499336,-5.4841545,-107.8413976496,25.60277279296932,-1.6943501333333335,25.548035619016208,0.4337911396200528,0.1330485125986528
9,2010.5,-1.914444,-5.478144299999999,-117.809736584,25.59694279811041,-2.0443789333333333,25.641315536758785,0.5450570919374376,0.12798808254780647
10,2010.25,-2.5687592,-5.609367,-142.4682592112,25.72423101919663,-2.2893328,25.627064438214784,0.5450775905064267,0.13615926427238736
11,2010.0,-2.3847952,-5.4400797,-135.5353919072,25.560019497337304,-2.6333952000000003,25.612489451067503,0.5490318482848087,0.13715677330638296
12,2009.888888888889,-2.9466312,-5.4330678,-156.7087434032,25.553217836668576,-2.8485170666666666,25.544148955776933,0.5422744926177748,0.14077943981454946
13,2009.7777777777778,-3.2141248,-5.398008300000001,-166.7895072128,25.51920953332493,-2.793162133333333,25.473217351660185,0.4832861864484765,0.13693499177291088
14,2009.6666666666667,-2.2187303999999997,-5.2207074,-129.2770738544,25.34722468498705,-2.465010133333333,25.53475618628202,0.42070419991712926,0.13685832351741872
15,2009.5555555555557,-1.9621752,-5.6233908,-119.60853458719998,25.73783434053409,-2.0957562666666667,25.63354221028024,0.3988573122173594,0.13955461281256368
16,2009.4444444444446,-2.1063631999999997,-5.703526800000001,-125.0424035552,25.815567605319576,-2.2091178666666664,25.76147820857301,0.3999736860742151,0.14014989586868304
17,2009.3333333333335,-2.5588151999999997,-5.616378900000001,-142.09350962719998,25.73103267986536,-2.4348466666666666,25.725850462213,0.5198467302449732,0.14086510765545987
18,2009.2222222222224,-2.6393616,-5.513203799999999,-145.1289812576,25.630951101454055,-2.7099639999999994,25.631922767263877,0.5293019734989749,0.14057291504603692
19,2009.1111111111113,-2.9317151999999997,-5.4130338,-156.1466190272,25.533784520472206,-2.6754914666666667,25.546740064603117,0.4549229479039983,0.1517123052115977
20,2009.0,-2.4553976,-5.3529317999999995,-138.1961139536,25.475484571883094,-2.293973333333333,25.515646758688927,0.4781554014829537,0.12894269302259503
21,2008.8,-1.4948072000000001,-5.4170406,-101.9953041392,25.537671183711478,-1.9051629333333333,25.52633508259693,0.462196768184988,0.12813309053673955
22,2008.6,-1.765284,-5.4460899000000005,-112.18849282400001,25.565849492196214,-1.9896869333333334,25.50139566014492,0.5130612450787773,0.09518556506796977
23,2008.3999999999999,-2.7089696,-5.275800899999999,-147.7522283456,25.400666304527068,-2.4123069333333333,25.509816763830013,0.599582072169779,0.08804147795150095
24,2008.1999999999998,-2.7626672,-5.4430848,-149.7758760992,25.56293449476676,-2.6698565333333337,25.46673957959473,0.5832405936900801,0.16603861067768763
25,2008.0,-2.5379328,-5.312863800000001,-141.3065355008,25.436617939490354,-2.3181704,25.50107177154165,0.6125546060966698,0.16691199371266222
26,2007.8333333333333,-1.6539112,-5.3819811,-107.9912974832,25.50366288036783,-1.8372122666666666,25.546092287396572,0.680662873557378,0.20451825251030642
27,2007.6666666666665,-1.3197927999999999,-5.5823211,-95.39971146079999,25.697996042331532,-1.7613063999999998,25.727793793832635,0.6741718268801071,0.21655064764104487
28,2007.5,-2.3102152,-5.874817500000001,-132.7247700272,25.98172245879854,-1.577010933333333,25.773462086894103,0.6800495670583176,0.21928273164454742
29,2007.45,-1.1010248,-5.523220800000001,-87.15522061280001,25.64066775955224,-1.4374634666666666,25.607631122018415,0.722609014824446,0.21377244554003796
30,2007.4,-0.9011504,-5.0694507,-79.6227539744,25.200503147704456,-1.2093770666666666,25.389988974142586,0.709686886455271,0.22629338098110863
31,2007.2,-1.625956,-5.2017091,-106.937777816,25.32879601517106,-1.5706383999999998,25.390971633475925,0.7330296693056514,0.2373255026421883
32,2007.1,-2.1848088,-5.5262599,-127.99870443679998,25.64361573755226,-2.2696829333333333,25.508230301384216,0.7899026783153587,0.24665092547598333
33,2007.0,-2.9982839999999995,-5.4321001,-158.65533082399998,25.55227915142932,-2.612750933333333,25.504991415351487,0.7955639223237255,0.23948652989963826
34,2006.8333333333333,-2.65516,-5.191692100000001,-145.72435976,25.31907935707288,-2.802037066666666,25.387743740966723,0.7953917941567206,0.17016197140991174
35,2006.6666666666665,-2.7526672,-5.1636445,-149.3990160992,25.29187271439796,-2.7927559999999994,25.305152147132148,0.6846282813312788,0.17767410825407742
36,2006.4999999999998,-2.9704407999999995,-5.1766666,-157.60603198879997,25.3045043699256,-2.9293389333333324,25.315192693833605,0.4493607207579457,0.17090183900407369
37,2006.333333333333,-3.0649087999999995,-5.222744800000001,-161.16615303679998,25.349200997177253,-2.7715421333333325,25.427258150566004,0.37590606245325964,0.17374600119319455
