dataset,depth,point_idx,age_original,age_shifted,shift,d18o,d13c,sea_level
B,-154,23,1999.4148,1998.5989,-0.8159,25.34416,-2.82168,
B,-154,24,1999.5357,1998.7320,-0.8037,25.18505,-2.94934,
B,-154,25,1999.6565,1998.8446,-0.8119,25.43979,-2.78893,
B,-154,26,1999.7773,1998.9166,-0.8607,25.30483,-2.81661,
B,-154,27,1999.8982,1999.0212,-0.8770,25.37467,-2.63382,
B,-154,28,2000.0190,1999.1117,-0.9073,25.35606,-2.16212,
C,-130,1,1995.9090,1994.6744,-1.2346,25.53284,-1.94975,
C,-130,2,1995.9990,1994.7233,-1.2757,25.64461,-1.69496,
C,-130,3,1996.0523,1994.7766,-1.2757,25.64697,-1.87163,
C,-130,4,1996.1773,1994.9016,-1.2757,25.48359,-1.53855,
C,-130,5,1996.3023,1995.1120,-1.1903,25.10487,-1.42861,
C,-130,6,1996.4273,1995.2370,-1.1903,25.58995,-1.56143,
C,-130,7,1996.5523,1995.3458,-1.2065,25.26093,-1.55421,
C,-130,8,1996.6773,1995.4016,-1.2757,25.52745,-1.70950,
C,-130,9,1996.8023,1995.5266,-1.2757,25.61209,-1.78657,
C,-130,10,1996.9273,1995.6516,-1.2757,25.60526,-1.78953,
C,-130,11,1997.0523,1995.7766,-1.2757,25.45722,-1.96575,
C,-130,12,1997.1773,1995.8731,-1.3042,25.39660,-1.89973,
C,-130,13,1997.3023,1995.9799,-1.3224,25.44539,-1.67092,
C,-130,14,1997.4273,1996.0746,-1.3527,24.62261,-0.08890,
C,-130,15,1997.5523,1996.3080,-1.2443,25.41545,-1.97569,
C,-130,16,1997.6773,1996.4481,-1.2292,25.18808,-2.32410,
C,-130,17,1997.8023,1996.4918,-1.3105,25.62904,-2.01826,
C,-130,18,1997.9273,1996.6190,-1.3083,25.53224,-1.67902,
C,-130,19,1998.0523,1996.7522,-1.3001,25.09611,-1.79247,
C,-130,20,1998.2457,1996.9691,-1.2766,25.16814,-2.12894,
C,-130,21,1998.4390,1997.2525,-1.1865,25.12908,-1.83312,
C,-130,22,1998.6323,1997.3566,-1.2757,25.32154,-2.39401,
C,-130,23,1998.8257,1997.5500,-1.2757,25.52801,-2.62812,
C,-130,24,1999.0190,1997.6848,-1.3342,25.62513,-1.84387,
D,-118.5,1,1995.0523,1995.3045,0.2522,25.50644,-1.41680,
D,-118.5,2,1995.2190,1995.4006,0.1816,25.43929,-1.37081,
D,-118.5,3,1995.3857,1995.4720,0.0863,25.49964,-1.63641,
D,-118.5,4,1995.5523,1995.5451,-0.0072,25.55521,-1.52207,
D,-118.5,5,1995.7190,1995.6865,-0.0325,25.61293,-1.44741,
D,-118.5,6,1995.8857,1995.8599,-0.0258,25.33148,-1.19218,
D,-118.5,7,1996.0523,1996.0083,-0.0441,25.54929,-1.21164,
D,-118.5,8,1996.1634,1996.1428,-0.0206,25.43684,-1.26219,
D,-118.5,9,1996.2746,1996.3357,0.0612,25.51464,-1.47712,
D,-118.5,10,1996.3857,1996.5031,0.1174,25.57760,-1.72008,
D,-118.5,11,1996.4968,1996.5386,0.0418,25.47171,-1.88836,
D,-118.5,12,1996.6079,1996.6256,0.0177,25.45775,-1.65969,
D,-118.5,13,1996.7190,1996.7487,0.0297,25.50596,-1.65775,
D,-118.5,14,1996.8301,1996.8656,0.0355,25.46485,-1.73820,
D,-118.5,15,1996.9412,1996.9646,0.0233,25.33080,-1.67691,
D,-118.5,16,1997.0523,1997.1665,0.1141,25.27824,-1.96715,
D,-118.5,17,1997.2190,1997.2738,0.0548,25.33348,-1.86484,
D,-118.5,18,1997.3857,1997.4183,0.0326,25.41203,-2.24521,
D,-118.5,19,1997.5523,1997.5340,-0.0183,25.54317,-2.51164,
D,-118.5,20,1997.7190,1997.6851,-0.0339,25.63264,-2.00345,
D,-118.5,21,1997.8857,1997.8707,-0.0150,25.55171,-1.76544,
D,-118.5,22,1998.0523,1998.0799,0.0276,25.26981,-1.91808,
D,-118.5,23,1998.1952,1998.2609,0.0658,25.28429,-1.86997,
D,-118.5,24,1998.3380,1998.4189,0.0809,25.15263,-2.07218,
E,-108,1,1994.9490,1994.6358,-0.3132,25.79315,-1.61403,
E,-108,2,1994.9990,1994.6767,-0.3223,25.58524,-1.49224,
E,-108,3,1995.0523,1994.7935,-0.2588,25.52473,-1.61309,
E,-108,4,1995.2523,1994.8482,-0.4041,25.44410,-1.92328,
E,-108,5,1995.4523,1994.9133,-0.5390,25.48909,-1.97142,
E,-108,6,1995.6523,1994.9919,-0.6604,25.58781,-2.04746,
E,-108,7,1995.8523,1995.0707,-0.7816,25.34028,-1.64777,
E,-108,8,1996.0523,1995.1788,-0.8735,25.32566,-1.81140,
E,-108,9,1996.1952,1995.2431,-0.9521,25.36721,-1.72756,
E,-108,10,1996.3380,1995.3869,-0.9511,25.43821,-1.88672,
E,-108,11,1996.4809,1995.4913,-0.9896,25.47844,-2.34030,
E,-108,12,1996.6238,1995.6022,-1.0216,25.55069,-2.25942,
E,-108,13,1996.7666,1995.7133,-1.0533,25.49769,-1.92352,
E,-108,14,1996.9095,1995.8506,-1.0589,25.36423,-2.03949,
E,-108,15,1997.0523,1996.0084,-1.0439,25.45786,-1.79128,
E,-108,16,1997.2190,1996.1406,-1.0784,25.33031,-2.15685,
E,-108,17,1997.3857,1996.2553,-1.1304,25.42276,-2.34111,
E,-108,18,1997.5523,1996.3628,-1.1895,25.46983,-2.90107,
E,-108,19,1997.7190,1996.5068,-1.2122,25.57823,-2.47489,
E,-108,20,1997.8857,1996.6205,-1.2651,25.46727,-2.22129,
E,-108,21,1998.0523,1996.7682,-1.2841,25.36522,-2.10944,
E,-108,22,1998.2190,1996.9640,-1.2550,25.29109,-2.44555,
E,-108,23,1998.3857,1997.2731,-1.1126,25.25782,-2.49579,
E,-108,24,1998.5523,1997.4778,-1.0745,25.51566,-3.34938,
E,-108,25,1998.7190,1997.5730,-1.1460,25.45733,-3.01161,
E,-108,26,1998.8857,1997.6825,-1.2032,25.67589,-2.21690,
E,-108,27,1999.0523,1997.8901,-1.1622,25.48075,-1.91679,
E,-108,28,1999.2523,1998.0738,-1.1785,25.31319,-2.08046,
E,-108,29,1999.4523,1998.1338,-1.3185,25.38270,-2.25828,
E,-108,30,1999.6523,1998.3965,-1.2558,25.24048,-2.30190,
E,-108,31,1999.8523,1998.5640,-1.2883,25.59363,-2.96132,
E,-108,32,2000.0523,1998.7262,-1.3261,25.73265,-2.56706,
F,-145,1,1994.5000,1993.3991,-1.1009,25.54866,-1.90240,
F,-145,2,1994.5833,1993.5587,-1.0246,25.80245,-2.06577,
F,-145,3,1994.6667,1993.7620,-0.9047,25.63902,-2.17283,
F,-145,4,1994.7500,1993.8852,-0.8648,25.42137,-2.21928,
F,-145,5,1994.8333,1994.0484,-0.7849,25.24355,-1.91098,
F,-145,6,1994.9167,1994.1793,-0.7374,25.22044,-1.68260,
F,-145,7,1995.0000,1994.2841,-0.7159,25.31351,-1.51948,
F,-145,8,1995.0667,1994.3569,-0.7098,25.57934,-1.61948,
F,-145,9,1995.2667,1994.4453,-0.8214,25.40474,-1.63042,
F,-145,10,1995.3333,1994.5194,-0.8139,25.29894,-1.64935,
F,-145,11,1995.4000,1994.5631,-0.8369,25.42331,-1.68695,
F,-145,12,1995.4667,1994.6189,-0.8478,25.56809,-1.75689,
F,-145,13,1995.5333,1994.7751,-0.7582,25.65263,-1.90671,
F,-145,14,1995.6000,1994.9083,-0.6917,25.63028,-2.05686,
F,-145,15,1995.6667,1995.0452,-0.6215,25.32712,-2.11984,
F,-145,16,1995.7333,1995.1203,-0.6130,25.36594,-1.98442,
F,-145,17,1995.8000,1995.2330,-0.5670,25.51144,-1.78090,
F,-145,18,1995.8667,1995.3373,-0.5294,25.45538,-1.70756,
F,-145,19,1995.9333,1995.5879,-0.3454,25.58904,-1.84597,
F,-145,20,1996.0000,1995.7478,-0.2522,25.37764,-1.98507,
F,-145,21,1996.2000,1995.7589,-0.4411,25.35624,-2.20127,
F,-145,22,1996.4000,1995.9396,-0.4604,25.06671,-2.01929,
F,-145,23,1996.6000,1996.0524,-0.5476,25.07345,-1.82983,
F,-145,24,1996.8000,1996.2766,-0.5234,25.16264,-1.59815,
F,-145,25,1997.0000,1996.3749,-0.6251,25.47746,-1.75957,
F,-145,26,1997.2444,1996.6193,-0.6251,25.48621,-1.96608,
F,-145,27,1997.4889,1996.8638,-0.6251,25.48815,-2.13345,
F,-145,28,1997.7333,1997.1082,-0.6251,25.39584,-2.11259,
F,-145,29,1997.9778,1997.3527,-0.6251,25.43082,-2.06154,
F,-145,30,1998.2222,1997.5971,-0.6251,25.56200,-1.96345,
F,-145,31,1998.4667,1997.8416,-0.6251,25.54062,-1.82290,
F,-145,32,1998.7111,1998.0388,-0.6723,25.49884,-1.82522,
F,-145,33,1998.9556,1998.1743,-0.7813,25.52799,-1.94488,
F,-145,34,1999.2000,1998.3279,-0.8721,25.39195,-2.17658,
F,-145,35,1999.3333,1998.4685,-0.8648,25.39681,-2.27701,
F,-145,36,1999.4667,1998.5511,-0.9156,25.50758,-2.24552,
F,-145,37,1999.6000,1998.7062,-0.8938,25.40653,-2.14343,
F,-145,38,1999.7333,1998.7062,-1.0271,25.57268,-2.23492,
F,-145,39,1999.8667,1998.8566,-1.0101,25.61442,-2.32937,
F,-145,40,2000.0000,1999.3749,-0.6251,25.46308,-2.48018,
F,-145,41,2000.2000,1999.5749,-0.6251,25.30737,-2.27302,
F,-145,42,2000.4000,1999.7749,-0.6251,25.44632,-2.04963,
F,-145,43,2000.6000,1999.9749,-0.6251,25.57847,-2.01350,
F,-145,44,2000.8000,2000.1749,-0.6251,25.75336,-2.19746,
F,-145,45,2001.0000,2000.3749,-0.6251,25.69409,-2.75499,
F,-145,46,2001.2000,2000.5749,-0.6251,25.49976,-2.79079,
F,-145,47,2001.4000,2000.7749,-0.6251,25.25490,-2.56141,
F,-145,48,2001.6000,2000.9749,-0.6251,25.41522,-2.10664,
F,-145,49,2001.8000,2001.1749,-0.6251,25.76211,-2.08077,
F,-145,50,2002.0000,2001.3749,-0.6251,25.54839,-2.21335,
F,-145,51,2002.1429,2001.5178,-0.6251,25.54154,-2.49510,
F,-145,52,2002.2857,2001.6606,-0.6251,25.40162,-2.55246,
F,-145,53,2002.4286,2001.8035,-0.6251,25.16356,-2.65754,
F,-145,54,2002.5714,2001.9463,-0.6251,25.22672,-2.08244,
F,-145,55,2002.7143,2002.0892,-0.6251,25.27628,-1.90012,
F,-145,56,2002.8571,2002.2320,-0.6251,25.56317,-1.88586,
F,-145,57,2003.0000,2002.3749,-0.6251,25.69312,-2.38404,
F,-145,58,2003.1250,2002.4999,-0.6251,25.60572,-2.61774,
F,-145,59,2003.2500,2002.6249,-0.6251,25.38122,-2.51399,
F,-145,60,2003.3750,2002.7499,-0.6251,25.31806,-2.32275,
F,-145,61,2003.5000,2002.8749,-0.6251,25.47547,-2.04896,
F,-145,62,2003.6250,2002.9999,-0.6251,25.70284,-1.98532,
F,-145,63,2003.7500,2003.1249,-0.6251,25.80098,-2.06819,
F,-145,64,2003.8750,2003.2499,-0.6251,25.74365,-2.38076,
F,-145,65,2004.0000,2003.3749,-0.6251,25.54543,-2.74239,
F,-145,66,2004.1429,2003.5178,-0.6251,25.40162,-2.88791,
F,-145,67,2004.2857,2003.6606,-0.6251,25.22575,-2.81697,
F,-145,68,2004.4286,2003.8035,-0.6251,25.29182,-2.67113,
F,-145,69,2004.5714,2003.9463,-0.6251,25.47644,-2.49711,
F,-145,70,2004.7143,2004.0892,-0.6251,25.75336,-2.41954,
F,-145,71,2004.8571,2004.2320,-0.6251,25.80389,-2.28561,
F,-145,72,2005.0000,2004.3749,-0.6251,25.77985,-2.25843,
F,-145,73,2005.1429,2004.5178,-0.6251,25.61053,-2.38406,
F,-145,74,2005.2857,2004.6606,-0.6251,25.43660,-2.52661,
F,-145,75,2005.4286,2004.8035,-0.6251,25.24907,-2.62141,
F,-145,76,2005.5714,2004.9463,-0.6251,25.43952,-2.38540,
F,-145,77,2005.7143,2005.0892,-0.6251,25.68535,-2.28298,
F,-145,78,2005.8571,2005.2320,-0.6251,25.66106,-2.24453,
F,-145,79,2006.0000,2005.3749,-0.6251,25.69026,-2.33832,
F,-145,80,2006.1667,2005.5416,-0.6251,25.62807,-2.57763,
F,-145,81,2006.3333,2005.7082,-0.6251,25.34920,-2.77154,
F,-145,82,2006.5000,2005.8749,-0.6251,25.30450,-2.92934,
F,-145,83,2006.6667,2006.0416,-0.6251,25.29187,-2.79276,
F,-145,84,2006.8333,2006.2082,-0.6251,25.31908,-2.80204,
F,-145,85,2007.0000,2006.3749,-0.6251,25.55228,-2.61275,
F,-145,86,2007.1000,2006.4749,-0.6251,25.64362,-2.26968,
F,-145,87,2007.2000,2006.5749,-0.6251,25.32880,-1.57064,
F,-145,88,2007.4000,2006.7749,-0.6251,25.20050,-1.20938,
F,-145,89,2007.4500,2006.8249,-0.6251,25.64067,-1.43746,
F,-145,90,2007.5000,2006.8749,-0.6251,25.98172,-1.57701,
F,-145,91,2007.6667,2007.0416,-0.6251,25.69800,-1.76131,
F,-145,92,2007.8333,2007.2082,-0.6251,25.50366,-1.83721,
F,-145,93,2008.0000,2007.3749,-0.6251,25.43662,-2.31817,
F,-145,94,2008.2000,2007.5749,-0.6251,25.56293,-2.66986,
F,-145,95,2008.4000,2007.7749,-0.6251,25.40067,-2.41231,
F,-145,96,2008.6000,2007.9749,-0.6251,25.56585,-1.98969,
F,-145,97,2008.8000,2008.1749,-0.6251,25.53767,-1.90516,
F,-145,98,2009.0000,2008.3749,-0.6251,25.47548,-2.29397,
F,-145,99,2009.1111,2008.4860,-0.6251,25.53379,-2.67549,
F,-145,100,2009.2222,2008.5971,-0.6251,25.63095,-2.70996,
F,-145,101,2009.3333,2008.7082,-0.6251,25.73103,-2.43485,
F,-145,102,2009.4444,2008.8193,-0.6251,25.81557,-2.20912,
F,-145,103,2009.5556,2008.9305,-0.6251,25.73783,-2.09576,
F,-145,104,2009.6667,2009.0416,-0.6251,25.34723,-2.46501,
F,-145,105,2009.7778,2009.1527,-0.6251,25.51921,-2.79316,
F,-145,106,2009.8889,2009.2638,-0.6251,25.55322,-2.84852,
F,-145,107,2010.0000,2009.3749,-0.6251,25.56002,-2.63340,
F,-145,108,2010.2500,2009.6249,-0.6251,25.72423,-2.28933,
F,-145,109,2010.5000,2009.8749,-0.6251,25.59694,-2.04438,
F,-145,110,2010.7500,2010.1249,-0.6251,25.60277,-1.69435,
F,-145,111,2011.0000,2010.3749,-0.6251,25.44439,-1.70625,
F,-145,112,2011.1429,2010.5178,-0.6251,25.33560,-1.83817,
F,-145,113,2011.2857,2010.6606,-0.6251,25.30933,-2.07318,
F,-145,114,2011.4286,2010.8035,-0.6251,25.43273,-2.04106,
F,-145,115,2011.5714,2010.9463,-0.6251,25.62221,-2.16337,
F,-145,116,2011.7143,2011.0892,-0.6251,25.77379,-1.98670,
F,-145,117,2011.8571,2011.2320,-0.6251,25.66107,-1.86307,
F,-145,118,2012.0000,2011.3749,-0.6251,25.56488,-1.48287,
