,A_age_shifted,A_shift,A_d18o,A_d13c,depth,B_age_shifted,B_shift,B_d18o,B_d13c,depth,C_age_shifted,C_shift,C_d18o,C_d13c,depth,D_age_shifted,D_shift,D_d18o,D_d13c,depth,E_age_shifted,E_shift,E_d18o,E_d13c,depth
1995-01-31,1995.1174,-1.9349,25.1727,-2.02944,-160.0,,,,,-154.0,1995.1121,-1.1903,25.10487,-1.42861,-130.0,,,,,-118.5,1995.0708,-0.7816,25.34028,-1.64777,-108.0
1995-03-31,1995.1617655737705,-1.9268196721311477,25.203999836065574,-2.08106262295082,-160.0,,,,,-154.0,1995.1746,-1.1903,25.34741,-1.49502,-130.0,1995.3045,0.2522,25.50644,-1.4168,-118.5,1995.1741677966102,-0.8783322033898305,25.344818008474576,-1.7375053389830508,-108.0
1995-05-31,1995.34195,-1.92465,25.30278,-2.46624,-160.0,1995.5583,-0.6607,25.72815,-2.46054,-154.0,1995.3389901639346,-1.2281918032786883,25.44393229508197,-1.6139601229508198,-130.0,1995.35255,0.21689999999999998,25.472865,-1.393805,-118.5,1995.3422786885244,-0.9413680327868852,25.414890122950823,-1.8569295081967212,-108.0
1995-07-31,1995.4808114754098,-1.9638032786885247,25.328461803278685,-3.021430737704918,-160.0,1995.5583,-0.6607,25.72815,-2.46054,-154.0,1995.4877483606556,-1.2669081967213116,25.556721967213115,-1.7472571721311474,-130.0,1995.5086000000001,0.03955,25.527425,-1.57924,-118.5,1995.5189999999998,-0.9976,25.4965025,-2.32008,-108.0
1995-09-30,1995.6417,-2.05355,25.437815,-3.05918,-160.0,1995.6788049180327,-0.644939344262295,25.390148032786886,-2.6289301639344265,-154.0,1995.682337704918,-1.2757,25.568856721311477,-1.8328627868852458,-130.0,1995.6517540983607,-0.026278688524590164,25.59873655737705,-1.4657690163934427,-118.5,1995.6577,-1.03745,25.524189999999997,-2.09147,-108.0
1995-11-30,1995.7999442622952,-2.074440983606557,25.305589180327868,-2.9575708196721315,-160.0,1995.8223,-0.74395,25.27987,-3.0446999999999997,-154.0,1995.8249,-1.2899500000000002,25.42691,-1.93274,-130.0,1995.8197878048782,0.007310569105691054,25.548400975609752,-1.3555969918699189,-118.5,1995.816837704918,-1.057522950819672,25.397048032786884,-2.0109727868852456,-108.0
1996-01-31,1996.0118499999999,-2.0738,25.201445,-2.9315550000000004,-160.0,1996.0248000000001,-0.81925,24.909374999999997,-2.432095,-154.0,1996.0273499999998,-1.33755,25.034,-0.87991,-130.0,1995.997987804878,0.06053556910569106,25.462128475609756,-1.2328469918699188,-118.5,1995.96895,-1.04765,25.4344525,-1.8533325,-108.0
1996-03-31,1996.1802166666666,-1.9882525000000002,25.17786841666667,-3.1259535833333336,-160.0,1996.2007525000001,-0.8156908333333334,25.061340666666666,-2.385133083333333,-154.0,1996.1900538888888,-1.2991022222222222,25.014625333333335,-1.0218128333333334,-130.0,1996.1461399999998,0.03297291666666667,25.437755791666667,-1.2466176666666666,-118.5,1996.1697450819672,-1.0916131147540984,25.353801393442623,-2.2036701639344263,-108.0
1996-05-31,1996.3653213114753,-1.9040016393442625,25.29566163934426,-3.3315319672131145,-160.0,1996.349199180328,-0.9121336065573771,25.349451721311475,-2.322780983606557,-154.0,1996.3453016393441,-1.2546418032786886,25.413699262295083,-2.0253636885245903,-130.0,1996.3056959016394,0.059426229508196725,25.494871147540984,-1.4225066393442622,-118.5,1996.30905,-1.15995,25.446295,-2.6210899999999997,-108.0
1996-07-31,1996.509025,-1.826625,25.37887,-3.226775,-160.0,1996.48855,-1.06375,25.48012,-3.040815,-154.0,1996.492825,-1.2938500000000002,25.439480000000003,-2.04814,-130.0,1996.48595,0.0448,25.524655000000003,-1.80422,-118.5,1996.4702098360658,-1.2064319672131147,25.550685737704917,-2.583181639344262,-108.0
1996-09-30,1996.66155,-1.75745,25.24072,-2.903375,-160.0,1996.6486065573772,-1.1960262295081967,25.28145180327869,-3.265221967213115,-154.0,1996.6426295081967,-1.3154081967213114,25.424994918032787,-1.7069175409836066,-130.0,1996.65535,-0.0081,25.481855000000003,-1.6587200000000002,-118.5,1996.6682819672133,-1.2583852459016394,25.44217573770492,-2.1937859016393446,-108.0
1996-11-30,1996.8330423913044,-1.6968326086956522,25.06423380434783,-2.8350322826086956,-160.0,1996.8301098360655,-1.2530032786885246,25.019578852459016,-2.766852786885246,-154.0,1996.8055114754097,-1.29432131147541,25.113822295081967,-1.875208524590164,-130.0,1996.8258999999998,-0.05985,25.397824999999997,-1.707555,-118.5,1996.8163475409835,-1.276944262295082,25.34699131147541,-2.1920900000000003,-108.0
1997-01-31,1996.969746195652,-1.6047163043478259,25.073064402173912,-2.9062586413043476,-160.0,1996.9479,-1.2294,24.88685,-2.70424,-154.0,1996.969,-1.2766,25.16814,-2.12894,-130.0,1997.0245,-0.00012500000000000358,25.29138,-1.89459,-118.5,1996.964,-1.255,25.29109,-2.44555,-108.0
