dataset,depth,point_idx,age_original,age_shifted,shift,d18o,d13c
D,-118.5,4,1995.5523,1995.5452,-0.0072,25.55521,-1.52207
D,-118.5,5,1995.7190,1995.6865,-0.0325,25.61293,-1.44741
D,-118.5,6,1995.8857,1996.0081,0.1225,25.33148,-1.19218
D,-118.5,7,1996.0523,1996.0777,0.0254,25.54929,-1.21164
D,-118.5,8,1996.1634,1996.1821,0.0187,25.43684,-1.26219
D,-118.5,9,1996.2746,1996.3478,0.0733,25.51464,-1.47712
D,-118.5,10,1996.3857,1996.4334,0.0478,25.57760,-1.72008
D,-118.5,11,1996.4968,1996.5385,0.0418,25.47171,-1.88836
D,-118.5,12,1996.6079,1996.6256,0.0177,25.45775,-1.65969
D,-118.5,13,1996.7190,1996.6851,-0.0339,25.50596,-1.65775
D,-118.5,14,1996.8301,1996.7719,-0.0583,25.46485,-1.73820
D,-118.5,15,1996.9412,1996.8799,-0.0614,25.33080,-1.67691
D,-118.5,16,1997.0523,1997.0727,0.0203,25.27824,-1.96715
D,-118.5,17,1997.2190,1997.2556,0.0366,25.33348,-1.86484
D,-118.5,18,1997.3857,1997.4182,0.0326,25.41203,-2.24521
D,-118.5,19,1997.5523,1997.5340,-0.0183,25.54317,-2.51164
D,-118.5,20,1997.7190,1997.6458,-0.0732,25.63264,-2.00345
D,-118.5,21,1997.8857,1997.7799,-0.1058,25.55171,-1.76544
D,-118.5,22,1998.0523,1997.9346,-0.1177,25.26981,-1.91808
D,-118.5,23,1998.1952,1998.0733,-0.1219,25.28429,-1.86997
D,-118.5,24,1998.3380,1998.2282,-0.1098,25.15263,-2.07218
E,-108,1,1994.9490,1994.6358,-0.3132,25.79315,-1.61403
E,-108,2,1994.9990,1994.6767,-0.3223,25.58524,-1.49224
E,-108,3,1995.0523,1994.7935,-0.2588,25.52473,-1.61309
E,-108,4,1995.2523,1994.8482,-0.4041,25.44410,-1.92328
E,-108,5,1995.4523,1994.9133,-0.5390,25.48909,-1.97142
E,-108,6,1995.6523,1994.9920,-0.6604,25.58781,-2.04746
E,-108,7,1995.8523,1995.0708,-0.7816,25.34028,-1.64777
E,-108,8,1996.0523,1995.1789,-0.8735,25.32566,-1.81140
E,-108,9,1996.1952,1995.2431,-0.9521,25.36721,-1.72756
E,-108,10,1996.3380,1995.3870,-0.9511,25.43821,-1.88672
E,-108,11,1996.4809,1995.4913,-0.9896,25.47844,-2.34030
E,-108,12,1996.6238,1995.6021,-1.0216,25.55069,-2.25942
E,-108,13,1996.7666,1995.7133,-1.0533,25.49769,-1.92352
E,-108,14,1996.9095,1995.8506,-1.0589,25.36423,-2.03949
E,-108,15,1997.0523,1996.0084,-1.0439,25.45786,-1.79128
E,-108,16,1997.2190,1996.1406,-1.0784,25.33031,-2.15685
E,-108,17,1997.3857,1996.2553,-1.1304,25.42276,-2.34111
E,-108,18,1997.5523,1996.3628,-1.1895,25.46983,-2.90107
E,-108,19,1997.7190,1996.5068,-1.2122,25.57823,-2.47489
E,-108,20,1997.8857,1996.6357,-1.2500,25.46727,-2.22129
E,-108,21,1998.0523,1996.7682,-1.2841,25.36522,-2.10944
E,-108,22,1998.2190,1996.9640,-1.2550,25.29109,-2.44555
E,-108,23,1998.3857,1997.2731,-1.1126,25.25782,-2.49579
E,-108,24,1998.5523,1997.4778,-1.0745,25.51566,-3.34938
E,-108,25,1998.7190,1997.5730,-1.1460,25.45733,-3.01161
E,-108,26,1998.8857,1997.6825,-1.2032,25.67589,-2.21690
E,-108,27,1999.0523,1997.8901,-1.1622,25.48075,-1.91679
E,-108,28,1999.2523,1998.0739,-1.1785,25.31319,-2.08046
E,-108,29,1999.4523,1998.1339,-1.3185,25.38270,-2.25828
E,-108,30,1999.6523,1998.3966,-1.2558,25.24048,-2.30190
E,-108,31,1999.8523,1998.5640,-1.2883,25.59363,-2.96132
E,-108,32,2000.0523,1998.7262,-1.3261,25.73265,-2.56706
