datetime,d13C,d16O
1927-04-01,-1.0309761336736565,25.696800077692483
1927-08-01,-1.1512268609775216,25.72248613650034
1927-12-01,-1.0198349575203876,25.725208438354404
1928-04-01,-0.9791176068358517,25.586101758031855
1928-08-01,-0.9433070329886887,25.783647247439745
1928-12-01,-0.7446697891839552,25.82337151257067
1929-04-01,-0.7711924628549383,25.669459385372818
1929-08-01,-0.770473804908753,26.0777310256546
1929-12-01,-0.9300083689207899,25.935114122746068
1930-04-01,-1.00379802781246,25.76944663804001
1930-08-01,-1.2436684638437534,25.942546423444657
1930-12-01,-0.829368459318284,25.940379104475564
1931-04-01,-0.7647434633937739,25.80590654671524
1931-08-01,-1.2583068532773605,25.964421258376397
1931-12-01,-0.7422779692966349,25.909174217724416
1932-04-01,-1.2374452032335472,25.744334866347515
1932-08-01,-1.067834261838346,25.936618216639644
1932-12-01,-0.6584116252793483,25.741161117204737
1933-04-01,-1.1653861445602582,25.76566534076676
1933-08-01,-0.879893935489724,25.97052759875044
1933-12-01,-0.6088675018467321,25.82844232086552
1934-04-01,-1.1356289586471011,25.965821345777332
1934-08-01,-0.9475839197674224,26.093324815428748
1934-12-01,-0.8672066871920308,25.936031637780466
1935-04-01,-0.6071347065134718,25.988882418366366
1935-08-01,-1.1819397996310386,26.219246868293204
1935-12-01,-0.9122171264738951,25.791988832483057
1936-04-01,-0.8303564332544194,25.313430690785516
1936-08-01,-1.2026712424799348,25.505355750687016
1936-12-01,-0.7874582851951217,25.802814096798173
1937-04-01,-0.7133267375770811,25.681395495727074
1937-08-01,-0.6822604541801969,25.730794548879068
1937-12-01,-1.312927455983709,25.098596239634656
1938-04-01,-0.9652943924565401,25.40823771796695
1938-08-01,-1.3835269386238385,25.75134910947577
1938-12-01,-1.2265113806150891,25.74013703201082
1939-04-01,-1.151513835346912,25.57834020747046
1939-08-01,-1.3244832842940426,25.425143838698553
1939-12-01,-1.254003146751111,25.592820101864508
1940-04-01,-1.3356125497813636,25.681073774395255
1940-08-01,-1.5100496558577907,25.530690182566904
1940-12-01,-1.2362372171491935,25.753591117641527
1941-04-01,-1.4056392182820343,25.480242951748746
1941-08-01,-1.2608164381706,25.497627383916605
1941-12-01,-1.1139792518495688,25.485857343045357
1942-04-01,-1.4768560659613383,25.463568768000034
1942-08-01,-1.5300749125046587,25.627148285629353
1942-12-01,-1.9298600039858544,25.848492552099838
1943-04-01,-1.7127159180441607,25.881014582298608
1943-08-01,-1.2402805482670853,25.81730480927605
1943-12-01,-1.4614901480771205,25.440427405025265
1944-04-01,-1.2590072160791879,25.48900251897587
1944-08-01,-1.7153867009631882,25.702739126862227
1944-12-01,-1.0746063368475065,25.87660320487605
1945-04-01,-1.0797570096209732,25.848147224420195
1945-08-01,-1.8572402048396803,25.75562144846725
1945-12-01,-1.6267051740329999,25.73584911213163
1946-04-01,-1.545878541331331,25.65895957758249
1946-08-01,-1.21656073809178,25.706795053524214
1946-12-01,-1.0908677599733692,25.784199395720606
1947-04-01,-1.2579252526367848,25.635624080039815
1947-08-01,-1.6740538037933967,25.67803685012035
1947-12-01,-1.4462776967165383,25.65667747593785
1948-04-01,-1.4103242893724577,25.534069658837975
1948-08-01,-1.434395448683735,25.83198572573724
1948-12-01,-1.1865393573913394,25.93750431277082
1949-04-01,-1.3256109622453542,25.830283252112807
1949-08-01,-1.7123179944066746,25.88764193478884
1949-12-01,-1.482141024050811,25.927145462034417
1950-04-01,-1.3450369937502273,25.428538826142
1950-08-01,-1.6160915837197596,25.64676959212871
1950-12-01,-1.3537141125759469,25.564099288549837
1951-04-01,-1.7681320878518125,25.553267918520334
1951-08-01,-1.4941764182178483,25.912856243494495
1951-12-01,-1.1099570664322194,25.455024071329145
1952-04-01,-1.4123315289770066,25.45781673545807
1952-08-01,-1.4923627741761163,25.68552212501255
1952-12-01,-1.2121225898561645,25.654810117114305
1953-04-01,-1.528883589706341,25.63970899736726
1953-08-01,-1.331263905221886,25.796232679009837
1953-12-01,-1.1497872345778841,25.65440014024113
1954-04-01,-1.351761332926181,25.734315194092574
1954-08-01,-1.0660718856739226,25.73767317911055
1954-12-01,-0.4073225001988497,26.050452768454207
1955-04-01,-0.8887526651490519,25.789122698745658
1955-08-01,-1.0768386815126925,25.731165024937884
1955-12-01,-0.9475330773529193,25.470640522363293
1956-04-01,-1.2694045288254827,25.59766266737859
1956-08-01,-1.0294558710004211,25.66200949395833
1956-12-01,-1.2747969921274769,25.268471861805157
1957-04-01,-1.1612467535902535,25.481468901391562
1957-08-01,-1.4747262027774792,25.70905646072476
1957-12-01,-0.8939598141859367,25.604479426860863
1958-04-01,-1.036674036705314,25.30255540973768
1958-08-01,-1.1263897093295623,26.086797093521422
1958-12-01,-0.9088814339605754,25.667519483342218
1959-04-01,-0.5342304832122143,25.667669420117537
1959-08-01,,
1959-12-01,-0.9697037878238207,25.694244736417605
1960-04-01,-0.883702194879007,25.552275233772612
1960-08-01,-0.8956839371669902,25.626020260422234
1960-12-01,-1.2430407800853374,25.720307456886797
1961-04-01,-0.8297006786605966,25.5505652227294
1961-08-01,-0.707996511451514,25.672015008653933
1961-12-01,-1.0595549109002014,25.80509283640845
1962-04-01,-0.7373702534045309,25.642275219746402
1962-08-01,-0.6554483856549741,25.621665773807656
1962-12-01,-0.6757691351968123,25.827374788406676
1963-04-01,-0.7122142964476579,25.788582327605326
1963-08-01,-0.6915508804935468,25.745846105499044
1963-12-01,-0.4650505536326849,25.676421137385802
1964-04-01,-1.1758588709335662,25.847858995974022
1964-08-01,-0.9089946123584973,26.099695897339014
1964-12-01,-0.30123196888866527,25.94112216501136
1965-04-01,-0.17849145902486885,25.60751732904631
1965-08-01,-0.5668197003839093,25.827160236615036
1965-12-01,-0.35035250466453066,25.938142389895848
1966-04-01,0.10084800143758245,25.854372056563633
1966-08-01,-0.4168288290785175,25.764579720133916
1966-12-01,-0.2045031243645966,25.78961541942995
1967-04-01,-0.3084687703940189,25.591645487538422
1967-08-01,-0.5171226668783316,25.81215882523938
1967-12-01,-0.5053990312684604,25.78293944916599
1968-04-01,-0.3262066181933555,25.614913878820534
1968-08-01,-0.7700160850269491,25.794049406630883
1968-12-01,-0.6605571706610597,25.8805207640687
1969-04-01,-0.4554821559216711,25.555082452699107
1969-08-01,-1.0574288640383807,25.65504653988315
1969-12-01,-0.86972893028339,25.67575003933986
1970-04-01,-0.8274494672310899,25.519913755026618
1970-08-01,-0.8886878522928864,25.512193216911967
1970-12-01,-1.2922355560419012,25.696237240653137
1971-04-01,-1.1669121211029752,25.823861877036826
1971-08-01,-1.1670638336899268,25.588171744344486
1971-12-01,-0.7085195596180245,25.810990515890257
1972-04-01,-1.6619204677826196,25.874727767739127
1972-08-01,-0.8257993021306822,25.89373428498504
1972-12-01,-0.6548656366499096,25.804652464624933
1973-04-01,-1.3852723441023256,25.690926026981014
1973-08-01,-1.5513401500590192,25.79115058190395
1973-12-01,-0.7904787979917505,25.81021087092951
1974-04-01,-1.0603469770059624,25.662704113322846
1974-08-01,-1.3896687494820916,25.929029590412988
1974-12-01,-1.2067447412692436,25.781559196597623
1975-04-01,-1.598999597180781,25.49280111370265
1975-08-01,-1.7795539187349618,25.82343084197198
1975-12-01,-1.6514800577627926,25.384488725140407
1976-04-01,-1.80167341933436,25.420917716279718
1976-08-01,-1.6633826799514804,25.63152467667229
1976-12-01,-1.1437128740065428,25.358851946331256
1977-04-01,-1.1284431687838228,25.56125493386817
1977-08-01,-1.0598667992510538,25.86678613573733
1977-12-01,-1.4829208496817592,25.54956141203707
1978-04-01,-1.801656157681977,25.571824748187467
1978-08-01,-1.7277119573975956,25.95606805421768
1978-12-01,-1.4231694617403092,25.659706113358354
1979-04-01,-1.569644307801931,25.401292477218544
1979-08-01,-2.1875713896022195,25.68352790473827
1979-12-01,-1.5566655395502735,25.57017933006117
1980-04-01,-1.6528425698863263,25.371895112290414
1980-08-01,-1.3980052314029043,25.58490423492655
1980-12-01,-1.3787483051301317,25.797124248559264
1981-04-01,-1.5217326312187283,25.28663471869395
1981-08-01,-1.8350268482833634,25.53486045952426
1981-12-01,-1.65315203210567,25.926085283777923
1982-04-01,-1.1900456016168757,25.639830401124627
1982-08-01,-1.4543634146947684,25.7413950192346
1982-12-01,-1.4308877626446304,25.451561304585734
1983-04-01,-1.4872408624901927,25.630189771169537
1983-08-01,-1.412992457407141,25.374861181348667
1983-12-01,-1.6229182734164873,25.299447574854714
1984-04-01,-1.6010010540930844,25.50557863340064
1984-08-01,-1.3570453670711569,25.34805779778305
1984-12-01,-1.5320645066897225,25.2862411489928
1985-04-01,-1.0132001257108925,25.715089794527742
1985-08-01,-1.0880811228290745,25.564596111789985
1985-12-01,-1.229520149134427,25.74618575681232
1986-04-01,-1.0734272402092784,25.325588771848217
1986-08-01,-1.4191741784632343,25.27612552802937
1986-12-01,-1.64332452531393,25.373032506860827
1987-04-01,-1.332113583468644,25.452565066727818
1987-08-01,-1.1951537777390335,25.405151893915587
1987-12-01,-0.9636769796769777,25.62296477352666
1988-04-01,-1.1173531172403512,25.5569046525131
1988-08-01,-1.425758149485147,25.436035172662613
1988-12-01,,
1989-04-01,-1.4966670061610865,25.670016274160915
1989-08-01,-1.2343845998904157,25.836319043721225
1989-12-01,-1.625910374360578,25.59246991308828
1990-04-01,-1.3322161227906801,25.441497677792164
1990-08-01,-1.352968587971824,25.622595128046143
1990-12-01,-1.2264696087532643,25.746492703089256
1991-04-01,-0.9980552957104134,25.710536782324844
1991-08-01,-1.2385010003388386,25.847777041064674
1991-12-01,-1.5924190738560502,25.811010348344364
1992-04-01,-1.4346221403733606,25.45841546497905
1992-08-01,-1.7631418508078567,25.70331898500256
1992-12-01,-1.509329786977345,25.88937070125642
1993-04-01,-1.8116624884723544,25.36686998431735
1993-08-01,-2.0028585195592474,25.486789951740572
1993-12-01,-1.8162456841318755,25.619533132538592
1994-04-01,-1.6897264720329144,25.3566546038853
1994-08-01,-1.8594567108442885,25.53254745949778
1994-12-01,-1.770059901792601,25.507782970175473
